Wavelength (nm),Sum,Zn I (1.1e-01),Zn II (8.9e-01)
491.299,2.027e+4,,2.027e+4
491.304,1.132e+4,,1.132e+4
491.309,6.195e+3,,6.195e+3
491.314,3.320e+3,,3.320e+3
491.319,1.742e+3,,1.742e+3
491.324,8.958e+2,,8.958e+2
491.329,4.511e+2,,4.511e+2
491.334,2.225e+2,,2.225e+2
491.339,1.075e+2,,1.075e+2
491.344,5.087e+1,,5.087e+1
491.349,2.358e+1,,2.358e+1
491.354,1.070e+1,,1.070e+1
491.359,4.760e+0,,4.760e+0
491.364,2.073e+0,,2.073e+0
491.369,8.845e-1,,8.845e-1
491.374,3.696e-1,,3.696e-1
491.379,1.513e-1,,1.513e-1
491.384,6.065e-2,,6.065e-2
491.389,2.381e-2,,2.381e-2
491.394,9.160e-3,,9.160e-3
491.399,3.451e-3,,3.451e-3
491.404,1.273e-3,,1.273e-3
491.409,4.603e-4,,4.603e-4
491.414,1.629e-4,,1.629e-4
491.419,5.650e-5,,5.650e-5
491.424,1.919e-5,,1.919e-5
491.429,6.384e-6,,6.384e-6
491.434,2.080e-6,,2.080e-6
491.439,6.640e-7,,6.640e-7
491.444,2.076e-7,,2.076e-7
491.449,6.357e-8,,6.357e-8
491.454,1.907e-8,,1.907e-8
492.104,1.708e-8,,1.708e-8
492.109,5.755e-8,,5.755e-8
492.114,1.899e-7,,1.899e-7
492.119,6.141e-7,,6.141e-7
492.124,1.945e-6,,1.945e-6
492.129,6.033e-6,,6.033e-6
492.134,1.833e-5,,1.833e-5
492.139,5.458e-5,,5.458e-5
492.144,1.592e-4,,1.592e-4
492.149,4.547e-4,,4.547e-4
492.154,1.272e-3,,1.272e-3
492.159,3.488e-3,,3.488e-3
492.164,9.367e-3,,9.367e-3
492.169,2.464e-2,,2.464e-2
492.174,6.349e-2,,6.349e-2
492.179,1.603e-1,,1.603e-1
492.184,3.963e-1,,3.963e-1
492.189,9.599e-1,,9.599e-1
492.194,2.278e+0,,2.278e+0
492.199,5.294e+0,,5.294e+0
492.204,1.205e+1,,1.205e+1
492.209,2.689e+1,,2.689e+1
492.214,5.874e+1,,5.874e+1
492.219,1.257e+2,,1.257e+2
492.224,2.636e+2,,2.636e+2
492.229,5.414e+2,,5.414e+2
492.234,1.089e+3,,1.089e+3
492.239,2.147e+3,,2.147e+3
492.244,4.145e+3,,4.145e+3
492.249,7.838e+3,,7.838e+3
492.254,1.452e+4,,1.452e+4
492.259,2.635e+4,,2.635e+4
492.264,4.685e+4,,4.685e+4
492.269,8.159e+4,,8.159e+4
492.274,1.392e+5,,1.392e+5
492.279,2.326e+5,,2.326e+5
492.284,3.807e+5,,3.807e+5
492.289,6.106e+5,,6.106e+5
492.294,9.591e+5,,9.591e+5
492.299,1.476e+6,,1.476e+6
492.304,2.225e+6,,2.225e+6
492.309,3.285e+6,,3.285e+6
492.314,4.752e+6,,4.752e+6
492.319,6.733e+6,,6.733e+6
492.324,9.346e+6,,9.346e+6
492.329,1.271e+7,,1.271e+7
492.334,1.693e+7,,1.693e+7
492.339,2.208e+7,,2.208e+7
492.344,2.823e+7,,2.823e+7
492.349,3.534e+7,,3.534e+7
492.354,4.335e+7,,4.335e+7
492.359,5.208e+7,,5.208e+7
492.364,6.129e+7,,6.129e+7
492.369,7.067e+7,,7.067e+7
492.374,7.981e+7,,7.981e+7
492.379,8.829e+7,,8.829e+7
492.384,9.569e+7,,9.569e+7
492.389,1.016e+8,,1.016e+8
492.394,1.056e+8,,1.056e+8
492.399,1.076e+8,,1.076e+8
492.404,1.074e+8,,1.074e+8
492.409,1.050e+8,,1.050e+8
492.414,1.005e+8,,1.005e+8
492.419,9.432e+7,,9.432e+7
492.424,8.667e+7,,8.667e+7
492.429,7.802e+7,,7.802e+7
492.435,6.692e+7,,6.692e+7
492.44,5.757e+7,,5.757e+7
492.445,4.851e+7,,4.851e+7
492.45,4.005e+7,,4.005e+7
492.455,3.238e+7,,3.238e+7
492.46,2.565e+7,,2.565e+7
492.465,1.990e+7,,1.990e+7
492.47,1.513e+7,,1.513e+7
492.475,1.127e+7,,1.127e+7
492.48,8.217e+6,,8.217e+6
492.485,5.871e+6,,5.871e+6
492.49,4.110e+6,,4.110e+6
492.495,2.818e+6,,2.818e+6
492.5,1.893e+6,,1.893e+6
492.505,1.245e+6,,1.245e+6
492.51,8.026e+5,,8.026e+5
492.515,5.067e+5,,5.067e+5
492.52,3.134e+5,,3.134e+5
492.525,1.899e+5,,1.899e+5
492.53,1.127e+5,,1.127e+5
492.535,6.551e+4,,6.551e+4
492.54,3.731e+4,,3.731e+4
492.545,2.081e+4,,2.081e+4
492.55,1.138e+4,,1.138e+4
492.555,6.090e+3,,6.090e+3
492.56,3.194e+3,,3.194e+3
492.565,1.641e+3,,1.641e+3
492.57,8.256e+2,,8.256e+2
492.575,4.070e+2,,4.070e+2
492.58,1.965e+2,,1.965e+2
492.585,9.296e+1,,9.296e+1
492.59,4.308e+1,,4.308e+1
492.595,1.955e+1,,1.955e+1
492.6,8.695e+0,,8.695e+0
492.605,3.787e+0,,3.787e+0
492.61,1.616e+0,,1.616e+0
492.615,6.755e-1,,6.755e-1
492.62,2.766e-1,,2.766e-1
492.625,1.109e-1,,1.109e-1
492.63,4.359e-2,,4.359e-2
492.635,1.678e-2,,1.678e-2
492.64,6.325e-3,,6.325e-3
492.645,2.336e-3,,2.336e-3
492.65,8.452e-4,,8.452e-4
492.655,2.995e-4,,2.995e-4
492.66,1.040e-4,,1.040e-4
492.665,3.537e-5,,3.537e-5
492.67,1.178e-5,,1.178e-5
492.675,3.845e-6,,3.845e-6
492.68,1.229e-6,,1.229e-6
492.685,3.850e-7,,3.850e-7
492.69,1.181e-7,,1.181e-7
492.695,3.549e-8,,3.549e-8
