Wavelength (nm),Sum(calc),Cu I (8.6e-2),Cu II (9.1e-1)
203.567,3.456e+10,2.187e-10,3.456e+10
203.572,5.023e+10,2.187e-10,5.023e+10
203.577,6.471e+10,2.187e-10,6.471e+10
203.582,7.389e+10,2.186e-10,7.389e+10
203.587,7.479e+10,2.186e-10,7.479e+10
203.592,6.709e+10,2.186e-10,6.709e+10
203.597,5.335e+10,2.185e-10,5.335e+10
203.602,3.760e+10,2.185e-10,3.760e+10
203.607,2.349e+10,2.185e-10,2.349e+10
203.612,1.301e+10,2.184e-10,1.301e+10
203.617,6.383e+9,2.184e-10,6.383e+9
203.622,2.777e+9,2.184e-10,2.777e+9
203.627,1.071e+9,2.183e-10,1.071e+9
203.632,3.659e+8,2.183e-10,3.659e+8
203.637,1.110e+8,2.183e-10,1.110e+8
203.642,3.052e+7,2.182e-10,3.052e+7
203.647,1.029e+7,2.182e-10,1.029e+7
203.652,1.421e+7,2.182e-10,1.421e+7
203.657,4.721e+7,2.181e-10,4.721e+7
203.662,1.592e+8,2.181e-10,1.592e+8
203.667,4.902e+8,2.181e-10,4.902e+8
203.672,1.361e+9,2.180e-10,1.361e+9
203.678,4.006e+9,2.180e-10,4.006e+9
203.683,8.685e+9,2.180e-10,8.685e+9
203.688,1.675e+10,2.179e-10,1.675e+10
203.693,2.871e+10,2.179e-10,2.871e+10
203.698,4.369e+10,2.179e-10,4.369e+10
203.703,5.897e+10,2.178e-10,5.897e+10
203.708,7.059e+10,2.178e-10,7.059e+10
203.713,7.494e+10,2.178e-10,7.494e+10
203.718,7.054e+10,2.177e-10,7.054e+10
203.723,5.887e+10,2.177e-10,5.887e+10
203.728,4.355e+10,2.177e-10,4.355e+10
203.733,2.857e+10,2.176e-10,2.857e+10
203.738,1.661e+10,2.176e-10,1.661e+10
203.743,8.562e+9,2.176e-10,8.562e+9
203.748,3.913e+9,2.175e-10,3.913e+9
203.753,1.585e+9,2.175e-10,1.585e+9
203.758,5.692e+8,2.175e-10,5.692e+8
203.763,1.812e+8,2.174e-10,1.812e+8
203.768,5.113e+7,2.174e-10,5.113e+7
203.773,1.279e+7,2.174e-10,1.279e+7
203.778,2.837e+6,2.173e-10,2.837e+6
203.783,5.578e+5,2.173e-10,5.578e+5
203.788,9.722e+4,2.173e-10,9.722e+4
203.793,1.502e+4,2.172e-10,1.502e+4
203.798,2.057e+3,2.172e-10,2.057e+3
203.803,2.498e+2,2.172e-10,2.498e+2
203.808,2.689e+1,2.171e-10,2.689e+1
203.813,2.566e+0,2.171e-10,2.566e+0
203.818,2.170e-1,2.171e-10,2.170e-1
203.823,1.628e-2,2.170e-10,1.628e-2
203.828,1.082e-3,2.170e-10,1.082e-3
203.833,6.376e-5,2.170e-10,6.376e-5
203.838,3.331e-6,2.169e-10,3.331e-6
203.843,1.542e-7,2.169e-10,1.542e-7
203.848,6.333e-9,2.169e-10,6.333e-9
203.853,2.305e-10,2.168e-10,2.305e-10
204.240,3.718e-10,2.143e-10,3.718e-10
204.245,9.999e-9,2.142e-10,9.999e-9
204.250,2.385e-7,2.142e-10,2.385e-7
204.255,5.048e-6,2.142e-10,5.048e-6
204.260,9.480e-5,2.141e-10,9.480e-5
204.265,1.579e-3,2.141e-10,1.579e-3
204.270,2.334e-2,2.141e-10,2.334e-2
204.275,3.060e-1,2.140e-10,3.060e-1
204.280,3.560e+0,2.140e-10,3.560e+0
204.285,3.674e+1,2.140e-10,3.674e+1
204.290,3.364e+2,2.139e-10,3.364e+2
204.295,2.733e+3,2.139e-10,2.733e+3
204.300,1.970e+4,2.139e-10,1.970e+4
204.305,1.259e+5,2.138e-10,1.259e+5
204.310,7.143e+5,2.138e-10,7.143e+5
204.315,3.595e+6,2.138e-10,3.595e+6
204.320,1.605e+7,2.137e-10,1.605e+7
204.325,6.358e+7,2.137e-10,6.358e+7
204.330,2.235e+8,2.137e-10,2.235e+8
204.335,6.967e+8,2.136e-10,6.967e+8
204.340,1.927e+9,2.136e-10,1.927e+9
204.345,4.729e+9,2.136e-10,4.729e+9
204.350,1.030e+10,2.135e-10,1.030e+10
204.355,1.989e+10,2.135e-10,1.989e+10
204.360,3.408e+10,2.135e-10,3.408e+10
204.365,5.182e+10,2.134e-10,5.182e+10
204.370,6.990e+10,2.134e-10,6.990e+10
204.375,8.364e+10,2.134e-10,8.364e+10
204.380,8.880e+10,2.133e-10,8.880e+10
204.385,8.364e+10,2.133e-10,8.364e+10
204.390,6.990e+10,2.133e-10,6.990e+10
204.395,5.182e+10,2.132e-10,5.182e+10
204.400,3.408e+10,2.132e-10,3.408e+10
204.405,1.989e+10,2.132e-10,1.989e+10
204.410,1.030e+10,2.131e-10,1.030e+10
204.415,4.729e+9,2.131e-10,4.729e+9
204.420,1.927e+9,2.131e-10,1.927e+9
204.425,6.967e+8,2.130e-10,6.967e+8
204.430,2.235e+8,2.130e-10,2.235e+8
204.435,6.358e+7,2.130e-10,6.358e+7
204.440,1.605e+7,2.129e-10,1.605e+7
204.446,2.627e+6,2.129e-10,2.627e+6
204.451,5.097e+5,2.129e-10,5.097e+5
204.456,8.773e+4,2.128e-10,8.773e+4
204.461,1.340e+4,2.128e-10,1.340e+4
204.466,1.815e+3,2.128e-10,1.815e+3
204.471,2.181e+2,2.127e-10,2.181e+2
204.476,2.326e+1,2.127e-10,2.326e+1
204.481,2.200e+0,2.127e-10,2.200e+0
204.486,1.847e-1,2.126e-10,1.847e-1
204.491,1.375e-2,2.126e-10,1.375e-2
204.496,9.084e-4,2.126e-10,9.084e-4
204.501,5.324e-5,2.125e-10,5.324e-5
204.506,2.768e-6,2.125e-10,2.768e-6
204.511,1.277e-7,2.125e-10,1.277e-7
204.516,5.226e-9,2.124e-10,5.226e-9
204.521,1.898e-10,2.124e-10,1.898e-10
204.626,1.031e-13,2.117e-10,1.031e-13
204.631,2.871e-12,2.117e-10,2.871e-12
204.636,7.097e-11,2.116e-10,7.097e-11
204.641,1.557e-9,2.116e-10,1.557e-9
204.646,3.033e-8,2.116e-10,3.033e-8
204.651,5.244e-7,2.115e-10,5.244e-7
204.656,8.047e-6,2.115e-10,8.047e-6
204.661,1.096e-4,2.115e-10,1.096e-4
204.666,1.325e-3,2.114e-10,1.325e-3
204.671,1.421e-2,2.114e-10,1.421e-2
204.676,1.354e-1,2.114e-10,1.354e-1
204.681,1.144e+0,2.113e-10,1.144e+0
204.686,8.585e+0,2.113e-10,8.585e+0
