Wavelength (nm),Sum,Pb I (4.4e-02),Pb II (9.5e-01)
401.75,1.690e-4,1.690e-4,
401.755,6.220e-4,6.220e-4,
401.76,2.219e-3,2.219e-3,
401.765,7.675e-3,7.675e-3,
401.77,2.574e-2,2.574e-2,
401.775,8.368e-2,8.368e-2,
401.78,2.638e-1,2.638e-1,
401.785,8.061e-1,8.061e-1,
401.79,2.388e+0,2.388e+0,
401.795,6.861e+0,6.861e+0,
401.8,1.911e+1,1.911e+1,
401.805,5.160e+1,5.160e+1,
401.81,1.351e+2,1.351e+2,
401.815,3.429e+2,3.429e+2,
401.82,8.437e+2,8.437e+2,
401.825,2.013e+3,2.013e+3,
401.83,4.657e+3,4.657e+3,
401.835,1.044e+4,1.044e+4,
401.84,2.271e+4,2.271e+4,
401.845,4.787e+4,4.787e+4,
401.85,9.784e+4,9.784e+4,
401.855,1.939e+5,1.939e+5,
401.86,3.725e+5,3.725e+5,
401.865,6.938e+5,6.938e+5,
401.87,1.253e+6,1.253e+6,
401.875,2.194e+6,2.194e+6,
401.88,3.724e+6,3.724e+6,
401.885,6.129e+6,6.129e+6,
401.89,9.779e+6,9.779e+6,
401.895,1.513e+7,1.513e+7,
401.9,2.269e+7,2.269e+7,
401.905,3.300e+7,3.300e+7,
401.91,4.652e+7,4.652e+7,
401.915,6.359e+7,6.359e+7,
401.92,8.427e+7,8.427e+7,
401.925,1.083e+8,1.083e+8,
401.93,1.349e+8,1.349e+8,
401.935,1.629e+8,1.629e+8,
401.94,1.908e+8,1.908e+8,
401.945,2.166e+8,2.166e+8,
401.95,2.384e+8,2.384e+8,
401.955,2.544e+8,2.544e+8,
401.96,2.632e+8,2.632e+8,
401.965,2.640e+8,2.640e+8,
401.97,2.567e+8,2.567e+8,
401.975,2.421e+8,2.421e+8,
401.98,2.213e+8,2.213e+8,
401.985,1.961e+8,1.961e+8,
401.99,1.686e+8,1.686e+8,
401.995,1.404e+8,1.404e+8,
402,1.134e+8,1.134e+8,
402.005,8.883e+7,8.883e+7,
402.01,6.744e+7,6.744e+7,
402.015,4.964e+7,4.964e+7,
402.02,3.543e+7,3.543e+7,
402.025,2.452e+7,2.452e+7,
402.03,1.645e+7,1.645e+7,
402.035,1.070e+7,1.070e+7,
402.04,6.746e+6,6.746e+6,
402.045,4.124e+6,4.124e+6,
402.05,2.445e+6,2.445e+6,
402.055,1.405e+6,1.405e+6,
402.06,7.828e+5,7.828e+5,
402.065,4.229e+5,4.229e+5,
402.07,2.215e+5,2.215e+5,
402.075,1.125e+5,1.125e+5,
402.08,5.536e+4,5.536e+4,
402.085,2.643e+4,2.643e+4,
402.09,1.223e+4,1.223e+4,
402.095,5.487e+3,5.487e+3,
402.1,2.387e+3,2.387e+3,
402.105,1.007e+3,1.007e+3,
402.11,4.115e+2,4.115e+2,
402.115,1.631e+2,1.631e+2,
402.12,6.270e+1,6.270e+1,
402.125,2.337e+1,2.337e+1,
402.13,8.442e+0,8.442e+0,
402.135,2.957e+0,2.957e+0,
402.14,1.004e+0,1.004e+0,
402.145,3.306e-1,3.306e-1,
402.15,1.055e-1,1.055e-1,
402.155,3.266e-2,3.266e-2,
402.16,9.800e-3,9.800e-3,
402.165,2.851e-3,2.851e-3,
402.17,8.041e-4,8.041e-4,
402.175,2.199e-4,2.199e-4,
402.18,5.830e-5,5.830e-5,
402.185,1.499e-5,1.499e-5,
402.19,3.735e-6,3.735e-6,
402.195,9.023e-7,9.023e-7,
402.2,2.114e-7,2.114e-7,
402.205,4.801e-8,4.801e-8,
405.536,1.657e-6,1.657e-6,
405.541,7.226e-6,7.226e-6,
405.546,3.057e-5,3.057e-5,
405.551,1.255e-4,1.255e-4,
405.556,4.995e-4,4.995e-4,
405.561,1.929e-3,1.929e-3,
405.566,7.229e-3,7.229e-3,
405.571,2.628e-2,2.628e-2,
405.576,9.266e-2,9.266e-2,
405.581,3.169e-1,3.169e-1,
405.586,1.052e+0,1.052e+0,
405.591,3.386e+0,3.386e+0,
405.596,1.057e+1,1.057e+1,
405.601,3.203e+1,3.203e+1,
405.606,9.412e+1,9.412e+1,
405.611,2.683e+2,2.683e+2,
405.616,7.421e+2,7.421e+2,
405.621,1.991e+3,1.991e+3,
405.626,5.182e+3,5.182e+3,
405.631,1.308e+4,1.308e+4,
405.636,3.204e+4,3.204e+4,
405.641,7.614e+4,7.614e+4,
405.646,1.755e+5,1.755e+5,
405.651,3.924e+5,3.924e+5,
405.656,8.512e+5,8.512e+5,
405.661,1.791e+6,1.791e+6,
405.666,3.656e+6,3.656e+6,
405.671,7.240e+6,7.240e+6,
405.676,1.391e+7,1.391e+7,
405.681,2.592e+7,2.592e+7,
405.686,4.686e+7,4.686e+7,
405.691,8.218e+7,8.218e+7,
405.696,1.398e+8,1.398e+8,
405.701,2.308e+8,2.308e+8,
405.706,3.695e+8,3.695e+8,
405.711,5.739e+8,5.739e+8,
405.716,8.646e+8,8.646e+8,
405.721,1.264e+9,1.264e+9,
405.726,1.792e+9,1.792e+9,
405.731,2.465e+9,2.465e+9,
405.736,3.289e+9,3.289e+9,
405.741,4.258e+9,4.258e+9,
405.746,5.347e+9,5.347e+9,
405.751,6.514e+9,6.514e+9,
405.756,7.698e+9,7.698e+9,
405.761,8.825e+9,8.825e+9,
405.766,9.814e+9,9.814e+9,
405.771,1.059e+10,1.059e+10,
405.776,1.108e+10,1.108e+10,
405.781,1.125e+10,1.125e+10,
405.786,1.108e+10,1.108e+10,
405.791,1.059e+10,1.059e+10,
405.796,9.814e+9,9.814e+9,
405.801,8.825e+9,8.825e+9,
405.806,7.698e+9,7.698e+9,
405.811,6.514e+9,6.514e+9,
405.816,5.347e+9,5.347e+9,
405.821,4.258e+9,4.258e+9,
405.826,3.289e+9,3.289e+9,
405.831,2.465e+9,2.465e+9,
405.836,1.792e+9,1.792e+9,
405.841,1.264e+9,1.264e+9,
405.846,8.646e+8,8.646e+8,
405.851,5.739e+8,5.739e+8,
405.856,3.695e+8,3.695e+8,
405.861,2.308e+8,2.308e+8,
405.866,1.398e+8,1.398e+8,
405.871,8.218e+7,8.218e+7,
405.876,4.686e+7,4.686e+7,
405.881,2.592e+7,2.592e+7,
405.886,1.391e+7,1.391e+7,
405.891,7.240e+6,7.240e+6,
405.896,3.656e+6,3.656e+6,
405.901,1.791e+6,1.791e+6,
