Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
219.886,1.193e+4,,,1.193e+4
219.891,2.384e+4,,,2.384e+4
219.896,4.297e+4,,,4.297e+4
219.901,6.986e+4,,,6.986e+4
219.906,1.024e+5,,,1.024e+5
219.911,1.354e+5,,,1.354e+5
219.916,1.614e+5,,,1.614e+5
219.921,1.735e+5,,,1.735e+5
219.926,1.682e+5,,,1.682e+5
219.931,1.471e+5,,,1.471e+5
219.936,1.159e+5,,,1.159e+5
219.941,8.242e+4,,,8.242e+4
219.945,5.824e+4,,,5.824e+4
219.950,3.437e+4,,,3.437e+4
219.955,1.830e+4,,,1.830e+4
219.960,8.782e+3,,,8.782e+3
219.965,3.801e+3,,,3.801e+3
219.970,1.484e+3,,,1.484e+3
219.975,5.223e+2,,,5.223e+2
219.980,1.658e+2,,,1.658e+2
219.985,4.745e+1,,,4.745e+1
219.990,1.225e+1,,,1.225e+1
219.995,2.852e+0,,,2.852e+0
220.000,5.986e-1,,,5.986e-1
220.005,1.133e-1,,,1.133e-1
220.010,1.934e-2,,,1.934e-2
220.015,2.978e-3,,,2.978e-3
220.020,4.134e-4,,,4.134e-4
220.025,5.175e-5,,,5.175e-5
220.030,5.843e-6,,,5.843e-6
220.035,5.948e-7,,,5.948e-7
220.040,5.461e-8,,,5.461e-8
220.045,4.521e-9,,,4.521e-9
220.050,3.375e-10,,,3.375e-10
220.055,2.273e-11,,,2.273e-11
220.060,1.380e-12,,,1.380e-12
223.632,2.053e-13,,,2.053e-13
223.637,3.464e-12,,,3.464e-12
223.642,5.290e-11,,,5.290e-11
223.647,7.310e-10,,,7.310e-10
223.652,9.141e-9,,,9.141e-9
223.657,1.034e-7,,,1.034e-7
223.662,1.060e-6,,,1.060e-6
223.667,9.820e-6,,,9.820e-6
223.672,8.237e-5,,,8.237e-5
223.677,6.252e-4,,,6.252e-4
223.682,4.295e-3,,,4.295e-3
