Wavelength (nm),Sum(calc),Cr I (2.7e-2),Cr II (9.7e-1)
480.061,4.628e+7,4.628e+7,
480.066,5.470e+7,5.470e+7,
480.071,6.325e+7,6.325e+7,
480.076,7.158e+7,7.158e+7,
480.081,7.926e+7,7.926e+7,
480.086,8.588e+7,8.588e+7,
480.091,9.106e+7,9.106e+7,
480.097,9.494e+7,9.494e+7,
480.102,9.597e+7,9.597e+7,
480.107,9.494e+7,9.494e+7,
480.112,9.190e+7,9.190e+7,
480.117,8.705e+7,8.705e+7,
480.122,8.068e+7,8.068e+7,
480.127,7.318e+7,7.318e+7,
480.132,6.495e+7,6.495e+7,
480.137,5.641e+7,5.641e+7,
480.143,4.628e+7,4.628e+7,
480.148,3.832e+7,3.832e+7,
480.153,3.105e+7,3.105e+7,
480.158,2.462e+7,2.462e+7,
480.163,1.910e+7,1.910e+7,
480.168,1.450e+7,1.450e+7,
480.173,1.077e+7,1.077e+7,
480.178,7.832e+6,7.832e+6,
480.184,5.191e+6,5.191e+6,
480.189,3.598e+6,3.598e+6,
480.194,2.440e+6,2.440e+6,
480.199,1.619e+6,1.619e+6,
480.204,1.052e+6,1.052e+6,
480.209,6.683e+5,6.683e+5,
480.214,4.156e+5,4.156e+5,
480.219,2.529e+5,2.529e+5,
480.225,1.354e+5,1.354e+5,
480.230,7.855e+4,7.855e+4,
480.235,4.459e+4,4.459e+4,
480.240,2.477e+4,2.477e+4,
480.245,1.347e+4,1.347e+4,
480.250,7.163e+3,7.163e+3,
480.255,3.728e+3,3.728e+3,
480.260,1.899e+3,1.899e+3,
480.266,8.213e+2,8.213e+2,
480.271,3.988e+2,3.988e+2,
480.276,1.895e+2,1.895e+2,
480.281,8.813e+1,8.813e+1,
480.286,4.010e+1,4.010e+1,
480.291,1.785e+1,1.785e+1,
480.296,7.779e+0,7.779e+0,
480.301,3.317e+0,3.317e+0,
480.306,1.384e+0,1.384e+0,
480.312,4.710e-1,4.710e-1,
480.317,1.873e-1,1.873e-1,
480.322,7.292e-2,7.292e-2,
480.327,2.777e-2,2.777e-2,
