Wavelength (nm),Au I (2.0e-01)
479.36,1.003e+8
479.365,6.790e+7
479.37,4.500e+7
479.375,2.918e+7
479.38,1.851e+7
479.385,1.149e+7
479.39,6.982e+6
479.395,4.150e+6
479.4,2.414e+6
479.405,1.374e+6
479.41,7.648e+5
479.415,4.167e+5
479.42,2.221e+5
479.425,1.159e+5
479.43,5.913e+4
479.435,2.953e+4
479.44,1.443e+4
479.445,6.899e+3
479.45,3.227e+3
479.455,1.477e+3
479.46,6.617e+2
479.465,2.900e+2
479.47,1.243e+2
479.475,5.217e+1
479.48,2.142e+1
479.485,8.604e+0
479.49,3.382e+0
479.495,1.301e+0
479.5,4.894e-1
479.505,1.802e-1
479.51,6.492e-2
479.515,2.289e-2
479.52,7.894e-3
479.525,2.664e-3
479.53,8.798e-4
479.535,2.843e-4
479.54,8.988e-5
479.545,2.781e-5
479.55,8.417e-6
479.555,2.493e-6
479.56,7.224e-7
480.876,4.158e-8
480.881,1.446e-7
480.886,4.919e-7
480.891,1.638e-6
480.896,5.337e-6
480.901,1.702e-5
480.906,5.312e-5
480.911,1.622e-4
480.916,4.849e-4
480.921,1.418e-3
480.926,4.061e-3
480.931,1.138e-2
480.936,3.119e-2
480.941,8.368e-2
480.946,2.197e-1
480.951,5.646e-1
480.956,1.420e+0
480.961,3.494e+0
480.966,8.415e+0
480.971,1.983e+1
480.976,4.575e+1
480.981,1.033e+2
480.986,2.281e+2
480.991,4.932e+2
480.996,1.043e+3
481.001,2.160e+3
481.006,4.378e+3
481.011,8.681e+3
481.016,1.685e+4
481.021,3.199e+4
481.026,5.946e+4
481.031,1.082e+5
481.036,1.925e+5
481.041,3.354e+5
481.046,5.717e+5
481.051,9.538e+5
481.056,1.557e+6
481.061,2.488e+6
481.066,3.891e+6
481.071,5.954e+6
481.076,8.917e+6
481.081,1.307e+7
481.086,1.874e+7
481.091,2.631e+7
481.096,3.614e+7
481.101,4.858e+7
481.106,6.391e+7
481.111,8.228e+7
481.116,1.037e+8
481.121,1.278e+8
481.126,1.543e+8
481.131,1.822e+8
481.136,2.105e+8
481.141,2.381e+8
481.146,2.635e+8
481.151,2.855e+8
481.156,3.026e+8
481.161,3.139e+8
481.166,3.187e+8
481.171,3.166e+8
481.176,3.079e+8
481.181,2.930e+8
481.186,2.728e+8
481.191,2.486e+8
481.196,2.217e+8
481.201,1.935e+8
481.206,1.653e+8
481.211,1.382e+8
481.216,1.130e+8
481.221,9.049e+7
481.226,7.089e+7
481.231,5.435e+7
481.236,4.078e+7
481.241,2.995e+7
481.246,2.152e+7
481.251,1.514e+7
481.256,1.042e+7
481.261,7.016e+6
481.266,4.625e+6
481.271,2.983e+6
481.276,1.883e+6
481.281,1.163e+6
481.286,7.034e+5
481.291,4.162e+5
481.296,2.410e+5
481.301,1.366e+5
481.306,7.573e+4
481.311,4.110e+4
481.316,2.183e+4
481.321,1.135e+4
481.326,5.772e+3
481.331,2.873e+3
481.336,1.400e+3
481.341,6.673e+2
481.346,3.113e+2
481.351,1.422e+2
481.356,6.352e+1
481.361,2.778e+1
481.366,1.189e+1
481.371,4.979e+0
481.376,2.041e+0
481.381,8.185e-1
481.386,3.213e-1
481.391,1.234e-1
481.396,4.640e-2
481.401,1.707e-2
481.406,6.147e-3
481.411,2.166e-3
481.416,7.469e-4
481.421,2.521e-4
481.426,8.324e-5
481.431,2.690e-5
481.436,8.509e-6
481.441,2.634e-6
481.446,7.979e-7
481.451,2.365e-7
481.456,6.862e-8
583.389,1.886e-7
583.394,5.199e-7
583.399,1.412e-6
583.404,3.780e-6
583.409,9.972e-6
583.414,2.592e-5
583.419,6.639e-5
583.424,1.676e-4
583.429,4.168e-4
583.434,1.022e-3
583.439,2.468e-3
583.444,5.874e-3
583.449,1.378e-2
583.454,3.185e-2
583.459,7.254e-2
583.464,1.628e-1
583.469,3.602e-1
583.474,7.850e-1
583.479,1.686e+0
583.484,3.569e+0
583.489,7.444e+0
583.494,1.530e+1
583.499,3.099e+1
583.504,6.185e+1
583.509,1.217e+2
583.514,2.358e+2
583.519,4.504e+2
583.524,8.477e+2
583.529,1.572e+3
583.534,2.874e+3
583.539,5.176e+3
583.544,9.187e+3
583.549,1.607e+4
583.554,2.769e+4
583.559,4.704e+4
583.564,7.873e+4
583.569,1.298e+5
583.574,2.110e+5
583.579,3.380e+5
583.584,5.335e+5
583.589,8.297e+5
583.594,1.272e+6
583.599,1.921e+6
583.604,2.859e+6
583.609,4.192e+6
583.614,6.059e+6
583.619,8.630e+6
583.624,1.211e+7
583.629,1.675e+7
583.634,2.283e+7
583.639,3.066e+7
583.644,4.058e+7
583.649,5.292e+7
583.654,6.802e+7
583.659,8.614e+7
583.664,1.075e+8
583.669,1.322e+8
583.674,1.602e+8
583.679,1.914e+8
583.684,2.252e+8
583.689,2.612e+8
583.694,2.985e+8
583.699,3.362e+8
583.704,3.731e+8
583.709,4.081e+8
583.714,4.398e+8
583.719,4.670e+8
583.724,4.888e+8
583.729,5.041e+8
583.734,5.123e+8
583.739,5.130e+8
583.744,5.063e+8
583.749,4.924e+8
583.754,4.719e+8
583.759,4.456e+8
583.764,4.147e+8
583.769,3.803e+8
583.774,3.437e+8
583.779,3.061e+8
583.784,2.686e+8
583.789,2.323e+8
583.794,1.980e+8
583.799,1.662e+8
583.804,1.376e+8
583.809,1.122e+8
583.814,9.015e+7
583.819,7.139e+7
583.824,5.571e+7
583.829,4.284e+7
583.834,3.247e+7
583.839,2.425e+7
583.844,1.784e+7
