Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
209.205,6.634e-4,,3.547e-15,6.634e-4
209.210,2.581e-3,,3.430e-15,2.581e-3
209.215,8.960e-3,,3.313e-15,8.960e-3
209.221,3.431e-2,,3.172e-15,3.431e-2
209.226,9.264e-2,,3.055e-15,9.264e-2
209.231,2.232e-1,,2.938e-15,2.232e-1
209.236,4.796e-1,,2.821e-15,4.796e-1
209.241,9.194e-1,,2.704e-15,9.194e-1
209.246,1.572e+0,,2.586e-15,1.572e+0
209.251,2.399e+0,,2.469e-15,2.399e+0
209.256,3.265e+0,,2.352e-15,3.265e+0
209.261,3.964e+0,,2.235e-15,3.964e+0
209.266,4.294e+0,,2.118e-15,4.294e+0
209.271,4.150e+0,,2.001e-15,4.150e+0
209.276,3.577e+0,,1.883e-15,3.577e+0
209.281,2.751e+0,,5.439e-14,2.751e+0
209.286,1.887e+0,,1.401e-12,1.887e+0
209.291,1.155e+0,,3.221e-11,1.155e+0
209.296,6.307e-1,,6.608e-10,6.307e-1
209.301,3.072e-1,,1.209e-8,3.072e-1
209.306,1.335e-1,,1.975e-7,1.335e-1
209.311,5.176e-2,,2.878e-6,5.175e-2
209.316,1.793e-2,,3.741e-5,1.790e-2
209.321,5.956e-3,,4.340e-4,5.522e-3
209.326,6.012e-3,,4.492e-3,1.520e-3
209.331,4.186e-2,,4.148e-2,3.731e-4
209.336,3.419e-1,,3.418e-1,8.173e-5
209.341,2.513e+0,,2.513e+0,1.597e-5
209.346,1.649e+1,,1.649e+1,2.784e-6
209.351,9.650e+1,,9.650e+1,4.329e-7
209.356,5.040e+2,,5.040e+2,6.006e-8
209.361,2.349e+3,,2.349e+3,7.433e-9
209.366,9.765e+3,,9.765e+3,8.206e-10
209.371,3.623e+4,,3.623e+4,8.083e-11
209.376,1.199e+5,,1.199e+5,7.102e-12
209.381,3.542e+5,,3.542e+5,5.567e-13
209.386,9.334e+5,,9.334e+5,3.893e-14
209.391,2.195e+6,,2.195e+6,2.429e-15
209.396,4.605e+6,,4.605e+6,1.352e-16
209.402,9.639e+6,,9.639e+6,3.631e-18
209.407,1.574e+7,,1.574e+7,1.572e-19
209.412,2.293e+7,,2.293e+7,6.070e-21
209.417,2.980e+7,,2.980e+7,2.091e-22
209.422,3.458e+7,,3.458e+7,2.091e-22
209.427,3.583e+7,,3.583e+7,2.090e-22
209.432,3.324e+7,,3.324e+7,2.090e-22
