Wavelength (nm),Sum(calc),Fe I (4.4e-2),Fe II (9.5e-1),Fe III (2.2e-3)
270.922,6.675e+8,6.295e+5,6.669e+8,6.318e+0
270.927,5.191e+8,2.508e+5,5.189e+8,6.365e+0
270.932,3.778e+8,9.337e+4,3.777e+8,5.995e+0
270.937,2.579e+8,3.247e+4,2.578e+8,5.286e+0
270.942,1.659e+8,1.055e+4,1.659e+8,4.380e+0
270.947,1.018e+8,3.200e+3,1.018e+8,3.441e+0
270.952,6.110e+7,9.068e+2,6.110e+7,2.618e+0
270.957,3.776e+7,2.401e+2,3.776e+7,2.018e+0
270.962,2.583e+7,5.937e+1,2.583e+7,1.694e+0
270.967,2.070e+7,1.371e+1,2.070e+7,1.643e+0
270.972,1.923e+7,2.959e+0,1.923e+7,1.823e+0
270.977,1.960e+7,5.965e-1,1.960e+7,2.154e+0
270.982,2.082e+7,1.123e-1,2.082e+7,2.538e+0
270.987,2.232e+7,1.976e-2,2.232e+7,2.874e+0
270.992,2.369e+7,3.246e-3,2.369e+7,3.075e+0
270.997,2.453e+7,4.982e-4,2.453e+7,3.087e+0
271.002,2.449e+7,7.144e-5,2.449e+7,2.900e+0
271.007,2.335e+7,9.739e-6,2.335e+7,2.547e+0
271.012,2.110e+7,2.650e-6,2.110e+7,2.091e+0
271.017,1.799e+7,1.140e-5,1.799e+7,1.603e+0
271.022,1.441e+7,8.145e-5,1.441e+7,1.148e+0
271.027,1.083e+7,5.504e-4,1.083e+7,7.684e-1
271.032,7.623e+6,3.475e-3,7.623e+6,4.803e-1
271.037,5.020e+6,2.050e-2,5.020e+6,2.805e-1
271.042,3.091e+6,1.130e-1,3.091e+6,1.530e-1
271.047,1.779e+6,5.817e-1,1.779e+6,7.799e-2
271.052,9.568e+5,2.798e+0,9.568e+5,3.713e-2
271.057,4.809e+5,1.257e+1,4.809e+5,1.652e-2
271.062,2.259e+5,5.280e+1,2.258e+5,6.862e-3
271.067,9.929e+4,2.071e+2,9.908e+4,2.663e-3
271.072,4.146e+4,7.590e+2,4.070e+4,9.658e-4
271.077,1.860e+4,2.599e+3,1.600e+4,3.271e-4
271.082,1.574e+4,8.313e+3,7.431e+3,1.035e-4
271.087,3.394e+4,2.484e+4,9.095e+3,3.060e-5
271.092,9.610e+4,6.936e+4,2.674e+4,8.451e-6
271.097,2.694e+5,1.809e+5,8.850e+4,2.180e-6
271.102,7.197e+5,4.409e+5,2.787e+5,5.254e-7
271.107,1.826e+6,1.004e+6,8.216e+5,1.183e-7
