Wavelength (nm),Sum,Sn I (5.3e-02),Sn II (9.4e-01)
303.503,9.298e+5,9.298e+5,
303.508,3.331e+5,3.331e+5,
303.513,1.130e+5,1.130e+5,
303.518,3.632e+4,3.632e+4,
303.523,1.106e+4,1.106e+4,
303.528,3.187e+3,3.187e+3,
303.533,8.703e+2,8.703e+2,
303.538,2.251e+2,2.251e+2,
303.543,5.513e+1,5.513e+1,
303.548,1.279e+1,1.279e+1,
303.553,2.811e+0,2.811e+0,
303.558,5.849e-1,5.849e-1,
303.563,1.153e-1,1.153e-1,
303.568,2.153e-2,2.153e-2,
303.573,3.806e-3,3.806e-3,
303.578,6.375e-4,6.375e-4,
303.583,1.011e-4,1.011e-4,
303.588,1.519e-5,1.519e-5,
303.593,2.162e-6,2.162e-6,
304.564,1.230e-8,,1.230e-8
304.569,8.499e-8,,8.499e-8
304.574,5.564e-7,,5.564e-7
304.579,3.452e-6,,3.452e-6
304.584,2.029e-5,,2.029e-5
304.589,1.130e-4,,1.130e-4
304.594,5.966e-4,,5.966e-4
304.599,2.984e-3,,2.984e-3
304.604,1.414e-2,,1.414e-2
304.609,6.351e-2,,6.351e-2
304.614,2.703e-1,,2.703e-1
304.619,1.090e+0,,1.090e+0
304.624,4.165e+0,,4.165e+0
304.629,1.508e+1,,1.508e+1
304.634,5.175e+1,,5.175e+1
304.639,1.683e+2,,1.683e+2
304.644,5.184e+2,,5.184e+2
304.649,1.513e+3,,1.513e+3
304.654,4.186e+3,,4.186e+3
304.659,1.097e+4,,1.097e+4
304.664,2.726e+4,,2.726e+4
304.669,6.417e+4,,6.417e+4
304.674,1.431e+5,,1.431e+5
304.679,3.025e+5,,3.025e+5
304.684,6.058e+5,,6.058e+5
304.689,1.150e+6,,1.150e+6
304.694,2.067e+6,,2.067e+6
304.699,3.523e+6,,3.523e+6
304.704,5.689e+6,,5.689e+6
304.709,8.704e+6,,8.704e+6
304.714,1.262e+7,,1.262e+7
304.719,1.734e+7,,1.734e+7
304.724,2.257e+7,,2.257e+7
304.729,2.785e+7,,2.785e+7
304.734,3.255e+7,,3.255e+7
304.739,3.606e+7,,3.606e+7
304.744,3.785e+7,,3.785e+7
304.749,3.764e+7,,3.764e+7
304.754,3.548e+7,,3.548e+7
304.759,3.169e+7,,3.169e+7
304.764,2.682e+7,,2.682e+7
304.769,2.150e+7,,2.150e+7
304.774,1.634e+7,,1.634e+7
304.779,1.177e+7,,1.177e+7
304.784,8.029e+6,,8.029e+6
304.789,5.191e+6,,5.191e+6
304.794,3.180e+6,,3.180e+6
304.799,1.846e+6,,1.846e+6
304.804,1.016e+6,,1.016e+6
304.809,5.295e+5,,5.295e+5
304.814,2.616e+5,,2.616e+5
304.819,1.224e+5,,1.224e+5
304.824,5.430e+4,,5.430e+4
304.829,2.282e+4,,2.282e+4
304.834,9.090e+3,,9.090e+3
304.839,3.430e+3,,3.430e+3
304.844,1.227e+3,,1.227e+3
304.849,4.157e+2,,4.157e+2
304.854,1.335e+2,,1.335e+2
304.859,4.061e+1,,4.061e+1
304.864,1.171e+1,,1.171e+1
304.869,3.199e+0,,3.199e+0
304.874,8.283e-1,,8.283e-1
304.879,2.032e-1,,2.032e-1
304.884,4.724e-2,,4.724e-2
304.889,1.040e-2,,1.040e-2
304.894,2.172e-3,,2.172e-3
304.899,4.296e-4,,4.296e-4
304.904,8.051e-5,,8.051e-5
304.909,1.430e-5,,1.430e-5
304.914,2.406e-6,,2.406e-6
304.919,3.838e-7,,3.838e-7
304.924,5.799e-8,,5.799e-8
304.929,8.304e-9,,8.304e-9
313.992,5.381e-8,5.381e-8,
313.997,3.596e-7,3.596e-7,
314.002,2.284e-6,2.284e-6,
314.007,1.379e-5,1.379e-5,
314.012,7.918e-5,7.918e-5,
314.017,4.321e-4,4.321e-4,
314.022,2.241e-3,2.241e-3,
314.027,1.105e-2,1.105e-2,
314.032,5.181e-2,5.181e-2,
314.037,2.309e-1,2.309e-1,
314.042,9.779e-1,9.779e-1,
314.047,3.938e+0,3.938e+0,
314.052,1.507e+1,1.507e+1,
314.057,5.485e+1,5.485e+1,
314.062,1.897e+2,1.897e+2,
314.067,6.239e+2,6.239e+2,
314.072,1.950e+3,1.950e+3,
314.077,5.795e+3,5.795e+3,
314.082,1.637e+4,1.637e+4,
314.087,4.395e+4,4.395e+4,
314.092,1.122e+5,1.122e+5,
314.097,2.722e+5,2.722e+5,
314.102,6.279e+5,6.279e+5,
314.107,1.377e+6,1.377e+6,
314.112,2.870e+6,2.870e+6,
314.117,5.686e+6,5.686e+6,
314.122,1.071e+7,1.071e+7,
314.127,1.918e+7,1.918e+7,
314.132,3.264e+7,3.264e+7,
314.137,5.281e+7,5.281e+7,
314.142,8.123e+7,8.123e+7,
314.147,1.188e+8,1.188e+8,
314.152,1.651e+8,1.651e+8,
314.157,2.181e+8,2.181e+8,
314.162,2.740e+8,2.740e+8,
314.167,3.271e+8,3.271e+8,
314.172,3.713e+8,3.713e+8,
314.177,4.006e+8,4.006e+8,
314.182,4.108e+8,4.108e+8,
314.187,4.006e+8,4.006e+8,
314.192,3.713e+8,3.713e+8,
314.197,3.271e+8,3.271e+8,
314.202,2.740e+8,2.740e+8,
314.207,2.181e+8,2.181e+8,
314.212,1.651e+8,1.651e+8,
314.217,1.188e+8,1.188e+8,
314.222,8.123e+7,8.123e+7,
314.227,5.281e+7,5.281e+7,
314.232,3.264e+7,3.264e+7,
314.237,1.918e+7,1.918e+7,
314.242,1.071e+7,1.071e+7,
314.247,5.686e+6,5.686e+6,
314.252,2.870e+6,2.870e+6,
314.257,1.377e+6,1.377e+6,
314.262,6.279e+5,6.279e+5,
314.267,2.722e+5,2.722e+5,
314.272,1.122e+5,1.122e+5,
314.277,4.395e+4,4.395e+4,
314.282,1.637e+4,1.637e+4,
314.287,5.795e+3,5.795e+3,
314.292,1.950e+3,1.950e+3,
314.297,6.239e+2,6.239e+2,
314.302,1.897e+2,1.897e+2,
314.307,5.485e+1,5.485e+1,
314.312,1.507e+1,1.507e+1,
314.317,3.938e+0,3.938e+0,
314.322,9.779e-1,9.779e-1,
314.327,2.309e-1,2.309e-1,
314.332,5.181e-2,5.181e-2,
314.337,1.105e-2,1.105e-2,
314.342,2.241e-3,2.241e-3,
314.347,4.321e-4,4.321e-4,
314.352,7.918e-5,7.918e-5,
314.357,1.379e-5,1.379e-5,
314.362,2.284e-6,2.284e-6,
314.367,3.596e-7,3.596e-7,
314.372,5.381e-8,5.381e-8,
317.313,3.396e-6,3.396e-6,
317.318,2.181e-5,2.181e-5,
317.323,1.333e-4,1.333e-4,
317.328,7.756e-4,7.756e-4,
317.333,4.294e-3,4.294e-3,
317.338,2.262e-2,2.262e-2,
317.343,1.134e-1,1.134e-1,
317.348,5.408e-1,5.408e-1,
317.353,2.455e+0,2.455e+0,
317.358,1.060e+1,1.060e+1,
317.363,4.359e+1,4.359e+1,
317.368,1.705e+2,1.705e+2,
317.373,6.347e+2,6.347e+2,
317.378,2.248e+3,2.248e+3,
317.383,7.578e+3,7.578e+3,
317.388,2.431e+4,2.431e+4,
317.393,7.421e+4,7.421e+4,
317.398,2.156e+5,2.156e+5,
317.403,5.959e+5,5.959e+5,
