Wavelength (nm),Sum(calc),Ag I (7.1e-2),Ag II (9.3e-1)
212.94,6.569e+6,1.607e-7,6.569e+6
212.96,4.416e+6,1.612e-7,4.416e+6
212.97,3.412e+6,1.614e-7,3.412e+6
212.99,1.807e+6,1.618e-7,1.807e+6
213.00,1.239e+6,1.621e-7,1.239e+6
213.02,5.173e+5,1.625e-7,5.173e+5
213.04,1.842e+5,1.630e-7,1.842e+5
213.05,1.036e+5,1.632e-7,1.036e+5
213.07,2.907e+4,1.636e-7,2.907e+4
213.09,6.959e+3,1.641e-7,6.959e+3
213.10,3.208e+3,1.643e-7,3.208e+3
213.12,6.052e+2,1.647e-7,6.052e+2
213.14,9.741e+1,1.652e-7,9.741e+1
213.15,3.682e+1,1.654e-7,3.682e+1
213.17,4.669e+0,1.658e-7,4.669e+0
213.19,5.052e-1,1.663e-7,5.052e-1
213.20,1.566e-1,1.665e-7,1.566e-1
213.22,1.335e-2,1.669e-7,1.335e-2
213.24,9.710e-4,1.674e-7,9.710e-4
213.25,2.467e-4,1.676e-7,2.467e-4
213.27,1.414e-5,1.680e-7,1.414e-5
213.29,6.915e-7,1.685e-7,6.915e-7
213.30,1.441e-7,1.687e-7,1.441e-7
213.32,5.551e-9,1.692e-7,5.551e-9
213.34,1.825e-10,1.696e-7,1.825e-10
213.35,3.117e-11,1.698e-7,3.117e-11
214.10,1.137e-10,1.864e-7,1.137e-10
214.11,3.102e-8,1.866e-7,3.102e-8
214.13,9.710e-7,1.871e-7,9.710e-7
214.15,2.589e-5,1.875e-7,2.589e-5
214.16,1.261e-4,1.877e-7,1.261e-4
214.18,2.659e-3,1.882e-7,2.659e-3
214.20,4.797e-2,1.886e-7,4.797e-2
214.21,1.922e-1,1.888e-7,1.922e-1
214.23,2.742e+0,1.893e-7,2.742e+0
214.25,3.347e+1,1.897e-7,3.347e+1
214.26,1.103e+2,1.900e-7,1.103e+2
214.28,1.065e+3,1.904e-7,1.065e+3
214.30,8.794e+3,1.908e-7,8.794e+3
214.31,2.383e+4,1.911e-7,2.383e+4
214.33,1.557e+5,1.915e-7,1.557e+5
214.34,3.753e+5,1.917e-7,3.753e+5
214.36,1.939e+6,1.922e-7,1.939e+6
214.38,8.570e+6,1.926e-7,8.570e+6
214.39,1.699e+7,1.928e-7,1.699e+7
214.41,5.941e+7,1.933e-7,5.941e+7
214.43,1.776e+8,1.937e-7,1.776e+8
214.44,2.897e+8,1.939e-7,2.897e+8
214.46,6.853e+8,1.944e-7,6.853e+8
214.48,1.387e+9,1.948e-7,1.387e+9
214.49,1.860e+9,1.950e-7,1.860e+9
214.51,2.977e+9,1.955e-7,2.977e+9
214.53,4.075e+9,1.959e-7,4.075e+9
214.54,4.497e+9,1.961e-7,4.497e+9
214.56,4.870e+9,1.966e-7,4.870e+9
