Wavelength (nm),Sum(calc),Ag I (7.4e-1),Ag II (2.6e-1)
557.14,4.855e+0,,4.855e+0
557.16,6.338e+0,,6.338e+0
557.18,8.084e+0,,8.084e+0
557.19,9.051e+0,,9.051e+0
557.21,1.115e+1,,1.115e+1
557.23,1.342e+1,,1.342e+1
557.24,1.460e+1,,1.460e+1
557.26,1.697e+1,,1.697e+1
557.28,1.928e+1,,1.928e+1
557.29,2.037e+1,,2.037e+1
557.31,2.235e+1,,2.235e+1
557.33,2.396e+1,,2.396e+1
557.34,2.459e+1,,2.459e+1
557.36,2.546e+1,,2.546e+1
557.38,2.576e+1,,2.576e+1
557.39,2.568e+1,,2.568e+1
557.41,2.510e+1,,2.510e+1
557.43,2.396e+1,,2.396e+1
557.44,2.321e+1,,2.321e+1
557.46,2.141e+1,,2.141e+1
557.47,2.039e+1,,2.039e+1
557.49,1.817e+1,,1.817e+1
557.51,1.584e+1,,1.584e+1
557.52,1.467e+1,,1.467e+1
557.54,1.238e+1,,1.238e+1
557.56,1.026e+1,,1.026e+1
557.57,9.279e+0,,9.279e+0
557.59,7.536e+0,,7.536e+0
557.61,6.111e+0,,6.111e+0
557.62,5.527e+0,,5.527e+0
557.64,4.630e+0,,4.630e+0
557.66,4.099e+0,,4.099e+0
557.67,3.973e+0,,3.973e+0
557.69,3.996e+0,,3.996e+0
557.71,4.384e+0,,4.384e+0
557.72,4.712e+0,,4.712e+0
557.74,5.629e+0,,5.629e+0
557.76,6.874e+0,,6.874e+0
557.77,7.611e+0,,7.611e+0
557.79,9.288e+0,,9.288e+0
557.81,1.119e+1,,1.119e+1
557.82,1.220e+1,,1.220e+1
557.84,1.428e+1,,1.428e+1
557.86,1.638e+1,,1.638e+1
557.87,1.739e+1,,1.739e+1
557.89,1.929e+1,,1.929e+1
557.90,2.014e+1,,2.014e+1
557.92,2.158e+1,,2.158e+1
557.94,2.260e+1,,2.260e+1
557.95,2.293e+1,,2.293e+1
557.97,2.319e+1,,2.319e+1
557.99,2.293e+1,,2.293e+1
558.00,2.260e+1,,2.260e+1
558.02,2.158e+1,,2.158e+1
558.04,2.013e+1,,2.013e+1
558.05,1.927e+1,,1.927e+1
558.07,1.737e+1,,1.737e+1
558.09,1.530e+1,,1.530e+1
558.10,1.423e+1,,1.423e+1
558.12,1.210e+1,,1.210e+1
558.14,1.006e+1,,1.006e+1
558.15,9.090e+0,,9.090e+0
558.17,7.297e+0,,7.297e+0
558.19,5.724e+0,,5.724e+0
558.20,5.026e+0,,5.026e+0
558.22,3.808e+0,,3.808e+0
558.24,2.819e+0,,2.819e+0
558.25,2.405e+0,,2.405e+0
558.27,1.721e+0,,1.721e+0
558.29,1.204e+0,,1.204e+0
558.30,9.986e-1,,9.986e-1
558.32,6.774e-1,,6.774e-1
558.34,4.529e-1,,4.529e-1
558.35,3.698e-1,,3.698e-1
558.37,2.500e-1,,2.500e-1
558.38,2.096e-1,,2.096e-1
558.40,1.611e-1,,1.611e-1
558.42,1.501e-1,,1.501e-1
558.43,1.578e-1,,1.578e-1
558.45,2.009e-1,,2.009e-1
558.47,2.857e-1,,2.857e-1
558.48,3.468e-1,,3.468e-1
558.50,5.157e-1,,5.157e-1
558.52,7.624e-1,,7.624e-1
558.53,9.222e-1,,9.222e-1
558.55,1.332e+0,,1.332e+0
558.57,1.889e+0,,1.889e+0
558.58,2.233e+0,,2.233e+0
558.60,3.079e+0,,3.079e+0
558.62,4.167e+0,,4.167e+0
558.63,4.815e+0,,4.815e+0
558.65,6.342e+0,,6.342e+0
558.67,8.207e+0,,8.207e+0
558.68,9.275e+0,,9.275e+0
558.70,1.170e+1,,1.170e+1
558.72,1.450e+1,,1.450e+1
558.73,1.605e+1,,1.605e+1
558.75,1.941e+1,,1.941e+1
558.77,2.308e+1,,2.308e+1
558.78,2.502e+1,,2.502e+1
558.80,2.903e+1,,2.903e+1
558.81,3.107e+1,,3.107e+1
558.83,3.516e+1,,3.516e+1
558.85,3.910e+1,,3.910e+1
558.86,4.097e+1,,4.097e+1
558.88,4.439e+1,,4.439e+1
558.90,4.724e+1,,4.724e+1
558.91,4.841e+1,,4.841e+1
558.93,5.012e+1,,5.012e+1
558.95,5.092e+1,,5.092e+1
558.96,5.096e+1,,5.096e+1
558.98,5.029e+1,,5.029e+1
559.00,4.865e+1,,4.865e+1
559.01,4.749e+1,,4.749e+1
559.03,4.457e+1,,4.457e+1
559.05,4.097e+1,,4.097e+1
559.06,3.898e+1,,3.898e+1
559.08,3.471e+1,,3.471e+1
559.10,3.027e+1,,3.027e+1
559.11,2.803e+1,,2.803e+1
559.13,2.366e+1,,2.366e+1
559.15,1.954e+1,,1.954e+1
559.16,1.761e+1,,1.761e+1
559.18,1.407e+1,,1.407e+1
559.20,1.099e+1,,1.099e+1
559.21,9.635e+0,,9.635e+0
559.23,7.280e+0,,7.280e+0
559.24,6.274e+0,,6.274e+0
559.26,4.583e+0,,4.583e+0
559.28,3.273e+0,,3.273e+0
559.29,2.743e+0,,2.743e+0
559.31,1.893e+0,,1.893e+0
559.33,1.277e+0,,1.277e+0
559.34,1.040e+0,,1.040e+0
559.36,6.783e-1,,6.783e-1
559.38,4.323e-1,,4.323e-1
559.39,3.422e-1,,3.422e-1
559.41,2.107e-1,,2.107e-1
559.43,1.268e-1,,1.268e-1
559.44,9.754e-2,,9.754e-2
559.46,5.672e-2,,5.672e-2
559.48,3.224e-2,,3.224e-2
559.49,2.409e-2,,2.409e-2
559.51,1.323e-2,,1.323e-2
559.53,7.099e-3,,7.099e-3
559.54,5.155e-3,,5.155e-3
559.56,2.673e-3,,2.673e-3
559.58,1.354e-3,,1.354e-3
559.59,9.554e-4,,9.554e-4
559.61,4.676e-4,,4.676e-4
559.63,2.237e-4,,2.237e-4
559.64,1.533e-4,,1.533e-4
559.66,7.085e-5,,7.085e-5
559.67,4.775e-5,,4.775e-5
559.69,2.131e-5,,2.131e-5
559.71,9.297e-6,,9.297e-6
559.72,6.088e-6,,6.088e-6
559.74,2.565e-6,,2.565e-6
559.76,1.056e-6,,1.056e-6
559.77,6.721e-7,,6.721e-7
559.79,2.674e-7,,2.674e-7
559.81,1.039e-7,,1.039e-7
559.82,6.425e-8,,6.425e-8
559.84,2.413e-8,,2.413e-8
559.86,8.855e-9,,8.855e-9
559.87,5.318e-9,,5.318e-9
559.89,1.885e-9,,1.885e-9
559.91,6.532e-10,,6.532e-10
559.92,3.812e-10,,3.812e-10
559.94,1.276e-10,,1.276e-10
559.96,4.176e-11,,4.176e-11
559.97,2.371e-11,,2.371e-11
559.99,7.667e-12,,7.667e-12
560.01,2.957e-12,,2.957e-12
560.02,2.452e-12,,2.452e-12
560.04,4.214e-12,,4.214e-12
560.06,1.228e-11,,1.228e-11
560.07,2.156e-11,,2.156e-11
560.09,6.596e-11,,6.596e-11
560.11,1.977e-10,,1.977e-10
560.12,3.394e-10,,3.394e-10
560.14,9.831e-10,,9.831e-10
560.15,1.659e-9,,1.659e-9
560.17,4.643e-9,,4.643e-9
560.19,1.270e-8,,1.270e-8
560.20,2.083e-8,,2.083e-8
560.22,5.506e-8,,5.506e-8
560.24,1.423e-7,,1.423e-7
560.25,2.267e-7,,2.267e-7
560.27,5.660e-7,,5.660e-7
560.29,1.381e-6,,1.381e-6
560.30,2.139e-6,,2.139e-6
560.32,5.043e-6,,5.043e-6
560.34,1.162e-5,,1.162e-5
560.35,1.749e-5,,1.749e-5
560.37,3.895e-5,,3.895e-5
560.39,8.477e-5,,8.477e-5
560.40,1.240e-4,,1.240e-4
560.42,2.607e-4,,2.607e-4
560.44,5.359e-4,,5.359e-4
560.45,7.618e-4,,7.618e-4
560.47,1.513e-3,,1.513e-3
560.49,2.937e-3,,2.937e-3
560.50,4.057e-3,,4.057e-3
560.52,7.610e-3,,7.610e-3
560.54,1.395e-2,,1.395e-2
560.55,1.873e-2,,1.873e-2
560.57,3.318e-2,,3.318e-2
560.58,4.378e-2,,4.378e-2
560.60,7.494e-2,,7.494e-2
560.62,1.254e-1,,1.254e-1
560.63,1.608e-1,,1.608e-1
560.65,2.599e-1,,2.599e-1
560.67,4.107e-1,,4.107e-1
560.68,5.118e-1,,5.118e-1
560.70,7.814e-1,,7.814e-1
560.72,1.166e+0,,1.166e+0
560.73,1.412e+0,,1.412e+0
560.75,2.036e+0,,2.036e+0
560.77,2.870e+0,,2.870e+0
560.78,3.378e+0,,3.378e+0
560.80,4.600e+0,,4.600e+0
560.82,6.122e+0,,6.122e+0
560.83,7.002e+0,,7.002e+0
560.85,9.006e+0,,9.006e+0
560.87,1.132e+1,,1.132e+1
560.88,1.258e+1,,1.258e+1
560.90,1.528e+1,,1.528e+1
560.92,1.814e+1,,1.814e+1
560.93,1.960e+1,,1.960e+1
560.95,2.248e+1,,2.248e+1
