Wavelength (nm),Sum(calc),Mg I (2.8e-1),Mg II (7.2e-1),Mg III (6.2e-4),Mg IV (3.2e-34),Mg V (1.0e-77)
209.58,3.215e-19,1.041e-5,,3.215e-19,2.929e-71,3.757e-135
209.60,1.650e-18,1.041e-5,,1.650e-18,2.927e-71,3.817e-135
209.62,7.195e-18,1.040e-5,,7.195e-18,2.925e-71,3.876e-135
209.63,1.413e-17,1.040e-5,,1.413e-17,2.924e-71,3.906e-135
209.65,4.818e-17,1.040e-5,,4.818e-17,2.922e-71,3.965e-135
209.67,1.395e-16,1.039e-5,,1.395e-16,2.920e-71,4.024e-135
209.68,2.233e-16,1.039e-5,,2.233e-16,2.919e-71,4.054e-135
209.70,5.060e-16,1.039e-5,,5.060e-16,2.917e-71,4.113e-135
209.72,9.735e-16,1.039e-5,,9.735e-16,2.915e-71,4.172e-135
209.73,1.270e-15,1.039e-5,,1.270e-15,2.913e-71,4.202e-135
209.75,1.912e-15,1.038e-5,,1.912e-15,2.911e-71,4.261e-135
209.77,2.443e-15,1.038e-5,,2.443e-15,2.909e-71,4.320e-135
209.78,2.598e-15,1.038e-5,,2.598e-15,2.908e-71,4.350e-135
209.80,2.598e-15,1.037e-5,,2.598e-15,2.906e-71,4.409e-135
209.82,2.206e-15,1.037e-5,,2.206e-15,2.904e-71,4.469e-135
