Wavelength (nm),Sum(calc),Al I (3.9e-2),Al II (7.6e-1),Al III (5.6e-4),Si I (2.2e-2),Si II (1.8e-1),Si III (1.5e-4)
202.162,3.600e+4,,3.600e+4,,,2.249e-13,1.162e-20
202.167,1.043e+5,,1.043e+5,,,2.250e-13,1.167e-20
202.172,2.675e+5,,2.675e+5,,,2.250e-13,1.172e-20
202.177,6.069e+5,,6.069e+5,,,2.250e-13,1.177e-20
202.182,1.219e+6,,1.219e+6,,,2.250e-13,1.183e-20
202.187,2.165e+6,,2.165e+6,,,2.251e-13,1.188e-20
202.192,3.404e+6,,3.404e+6,,,2.251e-13,1.193e-20
202.197,4.735e+6,,4.735e+6,,,2.251e-13,1.198e-20
202.202,5.829e+6,,5.829e+6,,,2.251e-13,1.204e-20
202.207,6.350e+6,,6.350e+6,,,2.252e-13,1.209e-20
202.212,6.122e+6,,6.122e+6,,,2.252e-13,1.214e-20
202.217,5.222e+6,,5.222e+6,,,2.252e-13,1.219e-20
202.222,3.942e+6,,3.942e+6,,,2.252e-13,1.225e-20
202.227,2.633e+6,,2.633e+6,,,2.253e-13,1.230e-20
202.232,1.556e+6,,1.556e+6,,,2.253e-13,1.235e-20
202.237,8.139e+5,,8.139e+5,,,2.253e-13,1.241e-20
202.242,3.767e+5,,3.767e+5,,,2.254e-13,1.246e-20
202.247,1.543e+5,,1.543e+5,,,2.254e-13,1.251e-20
202.252,5.592e+4,,5.592e+4,,,2.254e-13,1.256e-20
202.257,1.793e+4,,1.793e+4,,,2.254e-13,1.262e-20
202.262,5.089e+3,,5.089e+3,,,2.255e-13,1.267e-20
202.267,1.278e+3,,1.278e+3,,,2.255e-13,1.272e-20
202.272,2.840e+2,,2.840e+2,,,2.255e-13,1.277e-20
202.277,5.584e+1,,5.584e+1,,,2.255e-13,1.283e-20
202.282,9.717e+0,,9.717e+0,,,2.256e-13,1.288e-20
202.287,1.496e+0,,1.496e+0,,,2.256e-13,1.293e-20
202.292,2.039e-1,,2.039e-1,,,2.256e-13,1.298e-20
202.297,2.458e-2,,2.458e-2,,,2.257e-13,1.304e-20
202.302,2.622e-3,,2.622e-3,,,2.257e-13,1.309e-20
202.307,2.476e-4,,2.476e-4,,,2.257e-13,1.314e-20
202.312,2.068e-5,,2.068e-5,,,2.257e-13,1.319e-20
202.317,1.529e-6,,1.529e-6,,,2.258e-13,1.325e-20
202.322,1.000e-7,,1.000e-7,,,2.258e-13,1.330e-20
202.327,5.791e-9,,5.791e-9,,,2.258e-13,1.335e-20
202.332,2.966e-10,,2.966e-10,,,2.258e-13,1.340e-20
202.337,1.345e-11,,1.345e-11,,,2.259e-13,1.346e-20
202.342,5.393e-13,,5.393e-13,,,2.259e-13,1.351e-20
204.858,3.996e-20,,6.466e-12,,,2.395e-13,3.996e-20
204.863,8.711e-19,,6.478e-12,,,2.395e-13,8.711e-19
204.868,1.686e-17,,6.489e-12,,,2.395e-13,1.686e-17
204.873,2.896e-16,,6.501e-12,,,2.395e-13,2.896e-16
204.878,4.418e-15,,6.513e-12,,,2.396e-13,4.418e-15
204.883,5.983e-14,,6.525e-12,,,2.396e-13,5.983e-14
204.888,7.194e-13,,6.537e-12,,,2.396e-13,7.194e-13
204.893,7.679e-12,,6.548e-12,,,2.396e-13,7.679e-12
204.898,7.278e-11,,6.560e-12,,,2.397e-13,7.278e-11
204.903,6.123e-10,,6.572e-12,,,2.397e-13,6.123e-10
204.908,4.574e-9,,6.584e-12,,,2.397e-13,4.574e-9
204.913,3.034e-8,,6.595e-12,,,2.397e-13,3.034e-8
204.918,1.786e-7,,6.607e-12,,,2.398e-13,1.786e-7
204.923,9.337e-7,,6.619e-12,,,2.398e-13,9.337e-7
204.928,4.334e-6,,6.631e-12,,,2.398e-13,4.334e-6
204.933,1.786e-5,,6.643e-12,,,2.399e-13,1.786e-5
204.938,6.532e-5,,6.654e-12,,,2.399e-13,6.532e-5
204.943,2.121e-4,,6.666e-12,,,2.399e-13,2.121e-4
204.948,6.117e-4,,6.678e-12,,,2.399e-13,6.117e-4
204.953,1.566e-3,,6.690e-12,,,2.400e-13,1.566e-3
204.958,3.559e-3,,6.701e-12,,,2.400e-13,3.559e-3
204.963,7.182e-3,,6.713e-12,,,2.400e-13,7.182e-3
204.968,1.287e-2,,6.725e-12,,,2.400e-13,1.287e-2
204.973,2.046e-2,,6.737e-12,,,2.401e-13,2.046e-2
204.978,2.890e-2,,6.749e-12,,,2.401e-13,2.890e-2
204.983,3.623e-2,,6.760e-12,,,2.401e-13,3.623e-2
204.988,4.032e-2,,6.772e-12,,,2.402e-13,4.032e-2
204.993,3.985e-2,,6.784e-12,,,2.402e-13,3.985e-2
204.998,3.496e-2,,6.796e-12,,,2.402e-13,3.496e-2
205.003,2.723e-2,,6.807e-12,,,2.402e-13,2.723e-2
205.008,1.883e-2,,6.819e-12,,,2.403e-13,1.883e-2
