Wavelength (nm),Sum(calc),Mn I (1.3e-2),Mn II (3.9e-1),Cu I (5.2e-2),Cu II (5.5e-1)
202.684,8.723e+6,,1.573e-12,2.568e-12,8.723e+6
202.689,1.662e+7,,1.576e-12,2.597e-12,1.662e+7
202.694,2.805e+7,,1.578e-12,2.625e-12,2.805e+7
202.699,4.191e+7,,1.581e-12,2.653e-12,4.191e+7
202.704,5.545e+7,,1.584e-12,2.682e-12,5.545e+7
202.709,6.495e+7,,1.587e-12,2.710e-12,6.495e+7
202.714,6.736e+7,,1.589e-12,2.738e-12,6.736e+7
202.719,6.186e+7,,1.592e-12,2.767e-12,6.186e+7
202.724,5.030e+7,,1.595e-12,2.795e-12,5.030e+7
202.729,3.622e+7,,1.598e-12,2.823e-12,3.622e+7
202.734,2.309e+7,,1.601e-12,2.852e-12,2.309e+7
202.739,1.303e+7,,1.603e-12,2.880e-12,1.303e+7
202.744,6.514e+6,,1.606e-12,2.909e-12,6.514e+6
202.749,2.883e+6,,1.609e-12,2.937e-12,2.883e+6
202.754,1.129e+6,,1.612e-12,2.965e-12,1.129e+6
202.759,3.919e+5,,1.614e-12,2.994e-12,3.919e+5
202.764,1.204e+5,,1.617e-12,3.022e-12,1.204e+5
202.769,3.274e+4,,1.620e-12,3.050e-12,3.274e+4
202.774,7.886e+3,,1.623e-12,3.079e-12,7.886e+3
202.779,1.682e+3,,1.625e-12,3.107e-12,1.682e+3
202.784,3.176e+2,,1.628e-12,3.136e-12,3.176e+2
202.789,5.309e+1,,1.631e-12,3.164e-12,5.309e+1
202.794,7.859e+0,,1.634e-12,3.192e-12,7.859e+0
202.799,1.030e+0,,1.636e-12,3.221e-12,1.030e+0
202.804,1.196e-1,,1.639e-12,3.249e-12,1.196e-1
202.809,1.229e-2,,1.642e-12,3.277e-12,1.229e-2
202.814,1.118e-3,,1.645e-12,3.306e-12,1.118e-3
202.819,9.006e-5,,1.647e-12,3.334e-12,9.006e-5
202.824,6.425e-6,,1.650e-12,3.362e-12,6.425e-6
202.829,4.058e-7,,1.653e-12,3.391e-12,4.058e-7
202.834,2.269e-8,,1.656e-12,3.419e-12,2.269e-8
202.839,1.124e-9,,1.659e-12,3.448e-12,1.124e-9
202.844,4.927e-11,,1.661e-12,3.476e-12,4.927e-11
202.849,1.913e-12,,1.664e-12,3.504e-12,1.913e-12
202.854,1.218e-13,,1.667e-12,3.533e-12,1.218e-13
202.859,1.615e-12,,1.670e-12,3.561e-12,1.615e-12
202.864,4.123e-11,,1.672e-12,3.589e-12,4.123e-11
202.869,9.321e-10,,1.675e-12,3.618e-12,9.321e-10
202.874,1.867e-8,,1.678e-12,3.646e-12,1.867e-8
202.879,3.311e-7,,1.681e-12,3.675e-12,3.311e-7
202.884,5.202e-6,,1.683e-12,3.703e-12,5.202e-6
202.889,7.240e-5,,1.686e-12,3.731e-12,7.240e-5
202.894,8.924e-4,,1.689e-12,3.760e-12,8.924e-4
202.899,9.743e-3,,1.692e-12,3.788e-12,9.743e-3
202.904,9.421e-2,,1.694e-12,3.816e-12,9.421e-2
202.909,8.069e-1,,1.697e-12,3.845e-12,8.069e-1
202.914,6.122e+0,,1.700e-12,3.873e-12,6.122e+0
202.919,4.114e+1,,1.703e-12,3.901e-12,4.114e+1
202.924,2.448e+2,,1.706e-12,3.930e-12,2.448e+2
202.929,1.291e+3,,1.708e-12,3.958e-12,1.291e+3
202.934,6.026e+3,,1.711e-12,3.987e-12,6.026e+3
202.939,2.492e+4,,1.714e-12,4.015e-12,2.492e+4
202.944,9.130e+4,,1.717e-12,4.043e-12,9.130e+4
202.949,2.962e+5,,1.719e-12,4.072e-12,2.962e+5
202.954,8.513e+5,,1.722e-12,4.100e-12,8.513e+5
202.959,2.167e+6,,1.725e-12,4.128e-12,2.167e+6
202.964,4.886e+6,,1.728e-12,4.157e-12,4.886e+6
202.969,9.756e+6,,1.730e-12,4.185e-12,9.756e+6
202.974,1.726e+7,,1.733e-12,4.214e-12,1.726e+7
202.979,2.704e+7,,1.736e-12,4.242e-12,2.704e+7
202.984,3.752e+7,,1.739e-12,4.270e-12,3.752e+7
202.989,4.611e+7,,1.741e-12,4.299e-12,4.611e+7
202.994,5.020e+7,,1.744e-12,4.327e-12,5.020e+7
202.999,4.840e+7,,1.747e-12,4.355e-12,4.840e+7
203.004,4.134e+7,,1.750e-12,4.384e-12,4.134e+7
203.009,3.127e+7,,1.753e-12,4.412e-12,3.127e+7
203.014,2.095e+7,,1.755e-12,4.440e-12,2.095e+7
