Wavelength (nm),Sum(calc),Cu I (8.1e-2),Cu II (8.6e-1),Sn I (2.1e-3),Sn II (3.8e-2),Pb I (8.7e-4),Pb II (1.9e-2)
202.979,4.236e+7,3.125e-10,4.236e+7,,,5.455e-13,
202.984,5.878e+7,3.142e-10,5.878e+7,,,5.462e-13,
202.989,7.224e+7,3.160e-10,7.224e+7,,,5.470e-13,
202.994,7.864e+7,3.178e-10,7.864e+7,,,5.477e-13,
202.999,7.583e+7,3.195e-10,7.583e+7,,,5.485e-13,
203.004,6.477e+7,3.213e-10,6.477e+7,,,5.492e-13,
203.009,4.900e+7,3.230e-10,4.900e+7,,,5.500e-13,
203.014,3.283e+7,3.248e-10,3.283e+7,,,5.507e-13,
203.019,1.948e+7,3.265e-10,1.948e+7,,,5.515e-13,
203.024,1.024e+7,3.283e-10,1.024e+7,,,5.522e-13,
203.029,4.769e+6,3.300e-10,4.769e+6,,,5.530e-13,
203.034,1.972e+6,3.318e-10,1.972e+6,,,5.537e-13,
203.039,7.447e+5,3.335e-10,7.447e+5,,,5.545e-13,
203.044,3.525e+5,3.353e-10,3.525e+5,,,5.552e-13,
203.049,5.507e+5,3.371e-10,5.507e+5,,,5.559e-13,
203.054,1.745e+6,3.388e-10,1.745e+6,,,5.567e-13,
203.059,5.470e+6,3.406e-10,5.470e+6,,,5.574e-13,
203.064,1.532e+7,3.423e-10,1.532e+7,,,5.582e-13,
203.069,3.802e+7,3.441e-10,3.802e+7,,,5.589e-13,
203.074,8.358e+7,3.458e-10,8.358e+7,,,5.597e-13,
203.079,1.628e+8,3.476e-10,1.628e+8,,,5.604e-13,
203.084,2.809e+8,3.493e-10,2.809e+8,,,5.612e-13,
203.089,4.293e+8,3.511e-10,4.293e+8,,,5.619e-13,
203.094,5.813e+8,3.529e-10,5.813e+8,,,5.627e-13,
203.099,6.972e+8,3.546e-10,6.972e+8,,,5.634e-13,
203.104,7.407e+8,3.564e-10,7.407e+8,,,5.642e-13,
203.109,6.972e+8,3.581e-10,6.972e+8,,,5.649e-13,
203.114,5.813e+8,3.599e-10,5.813e+8,,,5.657e-13,
203.119,4.293e+8,3.616e-10,4.293e+8,,,5.664e-13,
203.124,2.809e+8,3.634e-10,2.809e+8,,,5.672e-13,
203.129,1.628e+8,3.651e-10,1.628e+8,,,5.679e-13,
203.134,8.358e+7,3.669e-10,8.358e+7,,,5.686e-13,
203.139,3.802e+7,3.686e-10,3.802e+7,,,5.694e-13,
203.144,1.532e+7,3.704e-10,1.532e+7,,,5.701e-13,
203.150,4.384e+6,3.725e-10,4.384e+6,,,5.710e-13,
203.155,1.353e+6,3.743e-10,1.353e+6,,,5.718e-13,
203.160,3.699e+5,3.760e-10,3.699e+5,,,5.725e-13,
203.165,8.957e+4,3.778e-10,8.957e+4,,,5.733e-13,
203.170,1.921e+4,3.795e-10,1.921e+4,,,5.740e-13,
203.175,3.651e+3,3.813e-10,3.651e+3,,,5.748e-13,
203.180,6.147e+2,3.830e-10,6.147e+2,,,5.755e-13,
203.185,9.166e+1,3.848e-10,9.166e+1,,,5.763e-13,
203.190,1.211e+1,3.865e-10,1.211e+1,,,5.770e-13,
203.195,1.417e+0,3.883e-10,1.417e+0,,,5.778e-13,
203.200,1.469e-1,3.901e-10,1.469e-1,,,5.785e-13,
203.205,1.349e-2,3.918e-10,1.349e-2,,,5.792e-13,
203.210,1.097e-3,3.936e-10,1.097e-3,,,5.800e-13,
203.215,7.907e-5,3.953e-10,7.907e-5,,,5.807e-13,
203.220,5.047e-6,3.971e-10,5.047e-6,,,5.815e-13,
203.225,2.854e-7,3.988e-10,2.854e-7,,,5.822e-13,
203.230,1.430e-8,4.006e-10,1.430e-8,,,5.830e-13,
203.235,6.345e-10,4.023e-10,6.345e-10,,,5.837e-13,
203.450,5.681e-9,4.778e-10,5.681e-9,,,6.158e-13,
203.456,2.595e-7,4.799e-10,2.595e-7,,,6.167e-13,
203.461,5.492e-6,4.816e-10,5.492e-6,,,6.175e-13,
203.466,1.030e-4,4.834e-10,1.030e-4,,,6.182e-13,
203.471,1.712e-3,4.852e-10,1.712e-3,,,6.190e-13,
203.476,2.523e-2,4.869e-10,2.523e-2,,,6.197e-13,
203.481,3.295e-1,4.887e-10,3.295e-1,,,6.205e-13,
203.486,3.814e+0,4.904e-10,3.814e+0,,,6.212e-13,
203.491,3.913e+1,4.922e-10,3.913e+1,,,6.220e-13,
203.496,3.559e+2,4.939e-10,3.559e+2,,,6.227e-13,
203.501,2.869e+3,4.957e-10,2.869e+3,,,6.235e-13,
203.506,2.049e+4,4.974e-10,2.049e+4,,,6.242e-13,
203.511,1.298e+5,4.992e-10,1.298e+5,,,6.250e-13,
203.516,7.285e+5,5.009e-10,7.285e+5,,,6.257e-13,
203.521,3.624e+6,5.027e-10,3.624e+6,,,6.264e-13,
203.526,1.598e+7,5.045e-10,1.598e+7,,,6.272e-13,
203.531,6.247e+7,5.062e-10,6.247e+7,,,6.279e-13,
203.536,2.164e+8,5.080e-10,2.164e+8,,,6.287e-13,
203.541,6.646e+8,5.097e-10,6.646e+8,,,6.294e-13,
203.546,1.809e+9,5.115e-10,1.809e+9,,,6.302e-13,
203.551,4.364e+9,5.132e-10,4.364e+9,,,6.309e-13,
203.556,9.331e+9,5.150e-10,9.331e+9,,,6.317e-13,
203.561,1.768e+10,5.167e-10,1.768e+10,,,6.324e-13,
203.566,2.971e+10,5.185e-10,2.971e+10,,,6.332e-13,
203.571,4.424e+10,5.203e-10,4.424e+10,,,6.339e-13,
203.576,5.838e+10,5.220e-10,5.838e+10,,,6.347e-13,
203.581,6.829e+10,5.238e-10,6.829e+10,,,6.354e-13,
203.586,7.081e+10,5.255e-10,7.081e+10,,,6.362e-13,
203.591,6.508e+10,5.273e-10,6.508e+10,,,6.369e-13,
203.596,5.301e+10,5.290e-10,5.301e+10,,,6.376e-13,
203.601,3.827e+10,5.308e-10,3.827e+10,,,6.384e-13,
203.606,2.449e+10,5.325e-10,2.449e+10,,,6.391e-13,
203.611,1.389e+10,5.343e-10,1.389e+10,,,6.399e-13,
203.616,6.985e+9,5.360e-10,6.985e+9,,,6.406e-13,
203.621,3.113e+9,5.378e-10,3.113e+9,,,6.414e-13,
203.626,1.230e+9,5.396e-10,1.230e+9,,,6.421e-13,
203.631,4.305e+8,5.413e-10,4.305e+8,,,6.429e-13,
203.636,1.337e+8,5.431e-10,1.337e+8,,,6.436e-13,
203.641,3.727e+7,5.448e-10,3.727e+7,,,6.444e-13,
203.646,1.123e+7,5.466e-10,1.123e+7,,,6.451e-13,
203.651,1.106e+7,5.483e-10,1.106e+7,,,6.459e-13,
203.656,3.457e+7,5.501e-10,3.457e+7,,,6.466e-13,
203.661,1.181e+8,5.518e-10,1.181e+8,,,6.474e-13,
203.666,3.709e+8,5.536e-10,3.709e+8,,,6.481e-13,
203.671,1.052e+9,5.553e-10,1.052e+9,,,6.488e-13,
203.676,2.675e+9,5.571e-10,2.675e+9,,,6.496e-13,
203.681,6.074e+9,5.589e-10,6.074e+9,,,6.503e-13,
203.686,1.228e+10,5.606e-10,1.228e+10,,,6.511e-13,
203.691,2.207e+10,5.624e-10,2.207e+10,,,6.518e-13,
203.696,3.522e+10,5.641e-10,3.522e+10,,,6.526e-13,
203.701,4.987e+10,5.659e-10,4.987e+10,,,6.533e-13,
203.706,6.265e+10,5.676e-10,6.265e+10,,,6.541e-13,
203.711,6.978e+10,5.694e-10,6.978e+10,,,6.548e-13,
203.716,6.892e+10,5.711e-10,6.892e+10,,,6.556e-13,
203.721,6.036e+10,5.729e-10,6.036e+10,,,6.563e-13,
203.726,4.686e+10,5.746e-10,4.686e+10,,,6.571e-13,
203.731,3.225e+10,5.764e-10,3.225e+10,,,6.578e-13,
203.736,1.968e+10,5.782e-10,1.968e+10,,,6.586e-13,
203.741,1.064e+10,5.799e-10,1.064e+10,,,6.593e-13,
203.746,5.104e+9,5.817e-10,5.104e+9,,,6.601e-13,
203.751,2.170e+9,5.834e-10,2.170e+9,,,6.608e-13,
203.757,6.630e+8,5.855e-10,6.630e+8,,,6.617e-13,
203.762,2.162e+8,5.873e-10,2.162e+8,,,6.624e-13,
203.767,6.250e+7,5.890e-10,6.250e+7,,,6.632e-13,
203.772,1.602e+7,5.908e-10,1.602e+7,,,6.639e-13,
203.777,3.639e+6,5.925e-10,3.639e+6,,,6.647e-13,
203.782,7.330e+5,5.943e-10,7.330e+5,,,6.654e-13,
203.787,1.309e+5,5.961e-10,1.309e+5,,,6.662e-13,
203.792,2.071e+4,5.978e-10,2.071e+4,,,6.669e-13,
203.797,2.906e+3,5.996e-10,2.906e+3,,,6.677e-13,
203.802,3.615e+2,6.013e-10,3.615e+2,,,6.684e-13,
203.807,3.986e+1,6.031e-10,3.986e+1,,,6.692e-13,
203.812,3.896e+0,6.048e-10,3.896e+0,,,6.699e-13,
203.817,3.376e-1,6.066e-10,3.376e-1,,,6.707e-13,
203.822,2.593e-2,6.083e-10,2.593e-2,,,6.714e-13,
203.827,1.766e-3,6.101e-10,1.766e-3,,,6.721e-13,
203.832,1.066e-4,6.118e-10,1.066e-4,,,6.729e-13,
203.837,5.705e-6,6.136e-10,5.705e-6,,,6.736e-13,
203.842,2.706e-7,6.154e-10,2.706e-7,,,6.744e-13,
203.847,1.138e-8,6.171e-10,1.138e-8,,,6.751e-13,
204.248,6.395e-8,7.578e-10,6.395e-8,,,7.350e-13,
204.253,1.420e-6,7.596e-10,1.420e-6,,,7.358e-13,
204.258,2.797e-5,7.613e-10,2.797e-5,,,7.365e-13,
204.263,4.888e-4,7.631e-10,4.888e-4,,,7.373e-13,
204.268,7.579e-3,7.649e-10,7.579e-3,,,7.380e-13,
204.273,1.042e-1,7.666e-10,1.042e-1,,,7.388e-13,
204.278,1.272e+0,7.684e-10,1.272e+0,,,7.395e-13,
204.283,1.377e+1,7.701e-10,1.377e+1,,,7.403e-13,
204.288,1.323e+2,7.719e-10,1.323e+2,,,7.410e-13,
204.293,1.127e+3,7.736e-10,1.127e+3,,,7.418e-13,
204.298,8.524e+3,7.754e-10,8.524e+3,,,7.425e-13,
204.303,5.717e+4,7.771e-10,5.717e+4,,,7.432e-13,
204.308,3.402e+5,7.789e-10,3.402e+5,,,7.440e-13,
204.313,1.796e+6,7.807e-10,1.796e+6,,,7.447e-13,
204.318,8.413e+6,7.824e-10,8.413e+6,,,7.455e-13,
204.323,3.496e+7,7.842e-10,3.496e+7,,,7.462e-13,
