Wavelength (nm),Sum(calc),Cr I (8.8e-1),Cr II (1.2e-1),Cr IV (1.2e-23),Cr V (9.8e-51)
239.08,3.867e+6,3.867e+6,7.076e-8,,
239.09,2.298e+6,2.298e+6,7.074e-8,,
239.11,7.386e+5,7.386e+5,7.070e-8,,
239.13,2.092e+5,2.092e+5,7.066e-8,,
239.14,1.062e+5,1.062e+5,7.064e-8,,
239.16,2.490e+4,2.490e+4,7.060e-8,,
239.18,5.147e+3,5.147e+3,7.056e-8,,
239.20,9.377e+2,9.377e+2,7.052e-8,,
239.21,3.817e+2,3.817e+2,7.050e-8,,
239.23,5.755e+1,5.755e+1,7.046e-8,,
239.25,7.650e+0,7.650e+0,7.042e-8,,
239.26,2.660e+0,2.660e+0,7.039e-8,,
239.28,2.926e-1,2.926e-1,7.035e-8,,
239.30,2.837e-2,2.837e-2,7.031e-8,,
239.31,8.426e-3,8.426e-3,7.029e-8,,
239.33,6.762e-4,6.762e-4,7.025e-8,,
239.35,4.783e-5,4.783e-5,7.021e-8,,
239.37,2.983e-6,2.983e-6,7.017e-8,,
239.38,7.104e-7,7.104e-7,7.015e-8,,
240.37,5.689e-8,5.689e-8,6.814e-8,,
240.39,1.137e-6,1.137e-6,6.810e-8,,
240.40,4.816e-6,4.816e-6,6.808e-8,,
240.42,7.878e-5,7.878e-5,6.804e-8,,
240.44,1.139e-3,1.139e-3,6.800e-8,,
240.45,4.132e-3,4.132e-3,6.798e-8,,
240.47,4.960e-2,4.960e-2,6.793e-8,,
240.49,5.261e-1,5.261e-1,6.789e-8,,
240.50,1.636e+0,1.636e+0,6.787e-8,,
240.52,1.441e+1,1.441e+1,6.783e-8,,
240.54,1.122e+2,1.122e+2,6.779e-8,,
240.56,7.723e+2,7.723e+2,6.775e-8,,
240.57,1.934e+3,1.934e+3,6.773e-8,,
240.59,1.106e+4,1.106e+4,6.769e-8,,
240.61,5.592e+4,5.592e+4,6.765e-8,,
240.62,1.200e+5,1.200e+5,6.763e-8,,
240.64,5.045e+5,5.045e+5,6.759e-8,,
240.66,1.874e+6,1.874e+6,6.755e-8,,
240.67,3.450e+6,3.450e+6,6.753e-8,,
240.69,1.066e+7,1.066e+7,6.749e-8,,
240.71,2.913e+7,2.913e+7,6.745e-8,,
240.73,7.042e+7,7.042e+7,6.741e-8,,
240.74,1.046e+8,1.046e+8,6.739e-8,,
240.76,2.104e+8,2.104e+8,6.734e-8,,
240.78,3.745e+8,3.745e+8,6.730e-8,,
240.79,4.774e+8,4.774e+8,6.728e-8,,
240.81,7.077e+8,7.077e+8,6.724e-8,,
240.83,9.287e+8,9.287e+8,6.720e-8,,
240.84,1.017e+9,1.017e+9,6.718e-8,,
240.86,1.112e+9,1.112e+9,6.714e-8,,
240.88,1.077e+9,1.077e+9,6.710e-8,,
240.90,9.240e+8,9.240e+8,6.706e-8,,
240.91,8.179e+8,8.179e+8,6.704e-8,,
240.93,5.854e+8,5.854e+8,6.700e-8,,
240.95,3.713e+8,3.713e+8,6.696e-8,,
240.96,2.826e+8,2.826e+8,6.694e-8,,
240.98,1.496e+8,1.496e+8,6.690e-8,,
241.00,7.020e+7,7.020e+7,6.686e-8,,
241.01,4.597e+7,4.597e+7,6.684e-8,,
241.03,1.801e+7,1.801e+7,6.680e-8,,
241.05,6.256e+6,6.256e+6,6.676e-8,,
241.07,1.927e+6,1.927e+6,6.671e-8,,
241.08,1.022e+6,1.022e+6,6.669e-8,,
241.10,2.629e+5,2.629e+5,6.665e-8,,
241.12,5.995e+4,5.995e+4,6.661e-8,,
241.13,2.736e+4,2.736e+4,6.659e-8,,
241.15,5.208e+3,5.208e+3,6.655e-8,,
241.17,8.787e+2,8.787e+2,6.651e-8,,
241.18,3.449e+2,3.449e+2,6.649e-8,,
241.20,4.856e+1,4.856e+1,6.645e-8,,
241.22,6.057e+0,6.057e+0,6.641e-8,,
241.24,6.693e-1,6.693e-1,6.637e-8,,
241.25,2.126e-1,2.126e-1,6.635e-8,,
241.27,1.958e-2,1.958e-2,6.631e-8,,
241.29,1.598e-3,1.598e-3,6.627e-8,,
241.30,4.359e-4,4.359e-4,6.625e-8,,
241.32,2.962e-5,2.962e-5,6.621e-8,,
241.34,1.782e-6,1.782e-6,6.617e-8,,
241.35,3.605e-7,3.605e-7,6.615e-8,,
247.41,1.962e-8,1.962e-8,5.382e-8,,
247.42,8.361e-8,8.361e-8,5.380e-8,,
247.44,1.391e-6,1.391e-6,5.376e-8,,
247.46,2.058e-5,2.058e-5,5.372e-8,,
247.47,7.576e-5,7.576e-5,5.370e-8,,
247.49,9.404e-4,9.404e-4,5.366e-8,,
247.51,1.038e-2,1.038e-2,5.362e-8,,
247.53,1.019e-1,1.019e-1,5.358e-8,,
247.54,3.057e-1,3.057e-1,5.356e-8,,
247.56,2.518e+0,2.518e+0,5.352e-8,,
247.58,1.845e+1,1.845e+1,5.348e-8,,
247.59,4.779e+1,4.779e+1,5.346e-8,,
247.61,2.937e+2,2.937e+2,5.342e-8,,
247.63,1.606e+3,1.606e+3,5.338e-8,,
247.64,3.593e+3,3.593e+3,5.336e-8,,
247.66,1.648e+4,1.648e+4,5.332e-8,,
247.68,6.720e+4,6.720e+4,5.327e-8,,
247.70,2.438e+5,2.438e+5,5.323e-8,,
247.71,4.444e+5,4.444e+5,5.321e-8,,
247.73,1.352e+6,1.352e+6,5.317e-8,,
247.75,3.660e+6,3.660e+6,5.313e-8,,
