Wavelength (nm),Sum(calc),Cr I (2.2e-1),Cr II (7.8e-1),Cr IV (9.5e-14),Cr V (1.7e-31)
241.30,6.371e-4,6.371e-4,2.847e-6,,
241.32,4.328e-5,4.328e-5,2.845e-6,,
241.34,2.603e-6,2.603e-6,2.843e-6,,
241.35,5.258e-7,5.258e-7,2.842e-6,,
247.41,2.664e-8,2.664e-8,2.325e-6,,
247.42,1.135e-7,1.135e-7,2.324e-6,,
247.44,1.889e-6,1.889e-6,2.322e-6,,
247.46,2.795e-5,2.795e-5,2.321e-6,,
247.47,1.029e-4,1.029e-4,2.320e-6,,
247.49,1.277e-3,1.277e-3,2.318e-6,,
247.51,1.410e-2,1.410e-2,2.316e-6,,
247.52,4.483e-2,4.483e-2,2.316e-6,,
247.54,4.151e-1,4.151e-1,2.314e-6,,
247.56,3.420e+0,3.420e+0,2.312e-6,,
247.58,2.505e+1,2.505e+1,2.310e-6,,
247.59,6.490e+1,6.490e+1,2.310e-6,,
247.61,3.989e+2,3.989e+2,2.308e-6,,
247.63,2.180e+3,2.180e+3,2.306e-6,,
247.64,4.879e+3,4.879e+3,2.305e-6,,
247.66,2.237e+4,2.237e+4,2.304e-6,,
247.68,9.125e+4,9.125e+4,2.302e-6,,
247.69,1.764e+5,1.764e+5,2.301e-6,,
247.71,6.034e+5,6.034e+5,2.299e-6,,
247.73,1.836e+6,1.836e+6,2.298e-6,,
247.75,4.970e+6,4.970e+6,2.296e-6,,
247.76,7.826e+6,7.826e+6,2.295e-6,,
247.78,1.777e+7,1.777e+7,2.293e-6,,
247.80,3.589e+7,3.589e+7,2.292e-6,,
247.81,4.881e+7,4.881e+7,2.291e-6,,
247.83,8.268e+7,8.268e+7,2.289e-6,,
247.85,1.246e+8,1.246e+8,2.287e-6,,
247.86,1.464e+8,1.464e+8,2.287e-6,,
247.88,1.850e+8,1.850e+8,2.285e-6,,
247.90,2.080e+8,2.080e+8,2.283e-6,,
247.92,2.080e+8,2.080e+8,2.281e-6,,
247.93,1.991e+8,1.991e+8,2.281e-6,,
247.95,1.670e+8,1.670e+8,2.279e-6,,
247.97,1.246e+8,1.246e+8,2.277e-6,,
247.98,1.030e+8,1.030e+8,2.276e-6,,
248.00,6.446e+7,6.446e+7,2.275e-6,,
248.02,3.589e+7,3.589e+7,2.273e-6,,
248.03,2.562e+7,2.562e+7,2.272e-6,,
248.05,1.197e+7,1.197e+7,2.270e-6,,
248.07,4.970e+6,4.970e+6,2.269e-6,,
248.09,1.836e+6,1.836e+6,2.267e-6,,
248.10,1.068e+6,1.068e+6,2.266e-6,,
248.12,3.310e+5,3.310e+5,2.264e-6,,
