Wavelength (nm),Sum(calc),Al I (1.0e-2),Al II (9.9e-1),Al III (8.0e-4)
212.37,5.386e+7,5.386e+7,1.315e-10,2.494e-18
212.38,4.684e+7,4.684e+7,1.313e-10,2.491e-18
212.40,3.142e+7,3.142e+7,1.310e-10,2.485e-18
212.42,1.797e+7,1.797e+7,1.306e-10,2.479e-18
212.43,1.280e+7,1.280e+7,1.304e-10,2.476e-18
212.45,5.759e+6,5.759e+6,1.301e-10,2.470e-18
212.47,2.209e+6,2.209e+6,1.297e-10,2.464e-18
212.48,1.289e+6,1.289e+6,1.295e-10,2.461e-18
212.50,3.890e+5,3.890e+5,1.292e-10,2.455e-18
212.52,1.001e+5,1.001e+5,1.288e-10,2.449e-18
212.53,4.783e+4,4.783e+4,1.286e-10,2.446e-18
212.55,9.687e+3,9.687e+3,1.283e-10,2.440e-18
212.57,1.672e+3,1.672e+3,1.279e-10,2.434e-18
212.58,6.544e+2,6.544e+2,1.278e-10,2.431e-18
212.60,8.891e+1,8.891e+1,1.274e-10,2.425e-18
212.62,1.030e+1,1.030e+1,1.270e-10,2.420e-18
212.63,3.305e+0,3.305e+0,1.269e-10,2.417e-18
212.65,3.751e-1,3.751e-1,1.265e-10,2.411e-18
212.67,8.942e-1,8.942e-1,1.261e-10,2.405e-18
212.68,2.814e+0,2.814e+0,1.260e-10,2.402e-18
212.70,2.592e+1,2.592e+1,1.256e-10,2.396e-18
212.72,2.041e+2,2.041e+2,1.252e-10,2.390e-18
212.73,5.397e+2,5.397e+2,1.251e-10,2.387e-18
212.75,3.350e+3,3.350e+3,1.247e-10,2.381e-18
212.77,1.774e+4,1.774e+4,1.244e-10,2.375e-18
212.78,3.846e+4,3.846e+4,1.242e-10,2.372e-18
212.80,1.605e+5,1.605e+5,1.238e-10,2.366e-18
212.82,5.716e+5,5.716e+5,1.235e-10,2.360e-18
212.83,1.016e+6,1.016e+6,1.233e-10,2.357e-18
212.85,2.852e+6,2.852e+6,1.229e-10,2.351e-18
212.87,6.829e+6,6.829e+6,1.226e-10,2.345e-18
212.88,9.956e+6,9.956e+6,1.224e-10,2.342e-18
212.90,1.879e+7,1.879e+7,1.220e-10,2.336e-18
212.92,3.025e+7,3.025e+7,1.217e-10,2.330e-18
212.93,3.616e+7,3.616e+7,1.215e-10,2.327e-18
212.95,4.588e+7,4.588e+7,1.211e-10,2.321e-18
212.97,4.967e+7,4.967e+7,1.208e-10,2.315e-18
212.98,4.870e+7,4.870e+7,1.206e-10,2.313e-18
213.00,4.155e+7,4.155e+7,1.202e-10,2.307e-18
213.02,3.025e+7,3.025e+7,1.199e-10,2.301e-18
213.03,2.432e+7,2.432e+7,1.197e-10,2.298e-18
213.05,1.395e+7,1.395e+7,1.193e-10,2.292e-18
213.07,6.829e+6,6.829e+6,1.190e-10,2.286e-18
213.08,4.502e+6,4.502e+6,1.188e-10,2.283e-18
213.10,1.737e+6,1.737e+6,1.185e-10,2.277e-18
213.12,5.716e+5,5.716e+5,1.181e-10,2.271e-18
213.13,3.090e+5,3.090e+5,1.179e-10,2.268e-18
213.15,8.015e+4,8.015e+4,1.176e-10,2.262e-18
213.17,1.774e+4,1.774e+4,1.172e-10,2.256e-18
213.18,7.869e+3,7.869e+3,1.170e-10,2.253e-18
213.20,1.423e+3,1.423e+3,1.167e-10,2.247e-18
213.22,6.045e+2,6.045e+2,1.163e-10,2.241e-18
213.23,1.130e+3,1.130e+3,1.161e-10,2.238e-18
213.25,6.524e+3,6.524e+3,1.158e-10,2.232e-18
213.27,3.436e+4,3.436e+4,1.154e-10,2.226e-18
213.28,7.435e+4,7.435e+4,1.152e-10,2.223e-18
213.30,3.094e+5,3.094e+5,1.149e-10,2.217e-18
213.32,1.100e+6,1.100e+6,1.145e-10,2.211e-18
213.33,1.955e+6,1.955e+6,1.143e-10,2.208e-18
213.35,5.485e+6,5.485e+6,1.140e-10,2.203e-18
213.37,1.315e+7,1.315e+7,1.136e-10,2.197e-18
213.38,1.919e+7,1.919e+7,1.134e-10,2.194e-18
213.40,3.631e+7,3.631e+7,1.131e-10,2.188e-18
213.42,5.869e+7,5.869e+7,1.127e-10,2.182e-18
213.43,7.033e+7,7.033e+7,1.126e-10,2.179e-18
213.45,8.976e+7,8.976e+7,1.122e-10,2.173e-18
213.47,9.787e+7,9.787e+7,1.118e-10,2.167e-18
213.48,9.633e+7,9.633e+7,1.117e-10,2.164e-18
213.50,8.294e+7,8.294e+7,1.113e-10,2.158e-18
213.52,6.101e+7,6.101e+7,1.109e-10,2.152e-18
213.53,4.933e+7,4.933e+7,1.108e-10,2.149e-18
213.55,2.865e+7,2.865e+7,1.104e-10,2.143e-18
213.57,1.422e+7,1.422e+7,1.101e-10,2.137e-18
213.58,9.448e+6,9.448e+6,1.099e-10,2.134e-18
213.60,3.704e+6,3.704e+6,1.095e-10,2.128e-18
213.62,1.241e+6,1.241e+6,1.092e-10,2.122e-18
213.63,6.773e+5,6.773e+5,1.090e-10,2.119e-18
213.65,1.793e+5,1.793e+5,1.086e-10,2.113e-18
213.67,4.056e+4,4.056e+4,1.083e-10,2.107e-18
213.68,1.819e+4,1.819e+4,1.081e-10,2.104e-18
213.70,3.251e+3,3.251e+3,1.077e-10,2.098e-18
213.72,4.968e+2,4.968e+2,1.074e-10,2.093e-18
213.73,1.831e+2,1.831e+2,1.072e-10,2.090e-18
213.75,2.211e+1,2.211e+1,1.068e-10,2.084e-18
213.77,2.282e+0,2.282e+0,1.065e-10,2.078e-18
213.78,6.914e-1,6.914e-1,1.063e-10,2.075e-18
213.80,5.641e-2,5.641e-2,1.059e-10,2.069e-18
213.82,3.935e-3,3.935e-3,1.056e-10,2.063e-18
213.83,9.800e-4,9.800e-4,1.054e-10,2.060e-18
213.85,5.405e-5,5.405e-5,1.050e-10,2.054e-18
213.87,2.549e-6,2.549e-6,1.047e-10,2.048e-18
213.88,5.218e-7,5.218e-7,1.045e-10,2.045e-18
213.90,1.946e-8,1.946e-8,1.042e-10,2.039e-18
213.92,6.203e-10,6.203e-10,1.038e-10,2.033e-18
214.10,7.516e-11,7.516e-11,1.006e-10,1.980e-18
214.12,2.537e-9,2.537e-9,1.002e-10,1.974e-18
214.13,1.390e-8,1.390e-8,1.000e-10,1.971e-18
214.15,3.711e-7,3.711e-7,9.968e-11,1.965e-18
214.17,8.473e-6,8.473e-6,9.932e-11,1.959e-18
214.18,3.818e-5,3.818e-5,9.914e-11,1.956e-18
214.20,6.894e-4,6.894e-4,9.879e-11,1.950e-18
214.22,1.065e-2,1.065e-2,9.843e-11,1.944e-18
214.23,3.945e-2,3.945e-2,9.825e-11,1.941e-18
214.25,4.818e-1,4.818e-1,9.789e-11,1.935e-18
214.27,5.032e+0,5.032e+0,9.753e-11,1.929e-18
214.28,1.534e+1,1.534e+1,9.736e-11,1.926e-18
214.30,1.267e+2,1.267e+2,9.700e-11,1.920e-18
214.32,8.950e+2,8.950e+2,9.664e-11,1.914e-18
214.33,2.243e+3,2.243e+3,9.646e-11,1.911e-18
214.35,1.253e+4,1.253e+4,9.610e-11,1.905e-18
214.37,5.989e+4,5.989e+4,9.575e-11,1.899e-18
214.38,1.234e+5,1.234e+5,9.557e-11,1.896e-18
214.40,4.665e+5,4.665e+5,9.521e-11,1.890e-18
214.42,1.508e+6,1.508e+6,9.485e-11,1.884e-18
214.43,2.556e+6,2.556e+6,9.467e-11,1.881e-18
214.45,6.533e+6,6.533e+6,9.432e-11,1.876e-18
214.47,1.428e+7,1.428e+7,9.396e-11,1.870e-18
214.48,1.991e+7,1.991e+7,9.378e-11,1.867e-18
214.50,3.442e+7,3.442e+7,9.342e-11,1.861e-18
214.52,5.089e+7,5.089e+7,9.306e-11,1.855e-18
214.53,5.836e+7,5.836e+7,9.289e-11,1.852e-18
214.55,6.824e+7,6.824e+7,9.253e-11,1.846e-18
214.57,6.824e+7,6.824e+7,9.217e-11,1.840e-18
214.58,6.435e+7,6.435e+7,9.199e-11,1.837e-18
214.60,5.089e+7,5.089e+7,9.163e-11,1.831e-18
214.62,3.442e+7,3.442e+7,9.128e-11,1.825e-18
214.63,2.670e+7,2.670e+7,9.110e-11,1.822e-18
214.65,1.428e+7,1.428e+7,9.074e-11,1.816e-18
214.67,6.533e+6,6.533e+6,9.038e-11,1.810e-18
214.68,4.167e+6,4.167e+6,9.020e-11,1.807e-18
214.70,1.508e+6,1.508e+6,8.985e-11,1.801e-18
214.72,4.665e+5,4.665e+5,8.949e-11,1.795e-18
214.73,2.447e+5,2.447e+5,8.931e-11,1.792e-18
214.75,5.989e+4,5.989e+4,8.895e-11,1.786e-18
214.77,1.254e+4,1.254e+4,8.859e-11,1.780e-18
214.78,5.418e+3,5.418e+3,8.842e-11,1.777e-18
214.80,9.903e+2,9.903e+2,8.806e-11,1.772e-18
214.82,8.475e+2,8.475e+2,8.770e-11,1.766e-18
214.83,1.915e+3,1.915e+3,8.752e-11,1.763e-18
214.85,1.121e+4,1.121e+4,8.716e-11,1.757e-18
214.87,5.743e+4,5.743e+4,8.681e-11,1.751e-18
214.88,1.227e+5,1.227e+5,8.663e-11,1.748e-18
214.90,4.978e+5,4.978e+5,8.627e-11,1.742e-18
214.92,1.729e+6,1.729e+6,8.591e-11,1.736e-18
214.93,3.041e+6,3.041e+6,8.573e-11,1.733e-18
214.95,8.363e+6,8.363e+6,8.538e-11,1.727e-18
214.97,1.969e+7,1.969e+7,8.502e-11,1.721e-18
214.98,2.849e+7,2.849e+7,8.484e-11,1.718e-18
215.00,5.311e+7,5.311e+7,8.448e-11,1.712e-18
215.02,8.471e+7,8.471e+7,8.412e-11,1.706e-18
215.03,1.009e+8,1.009e+8,8.395e-11,1.703e-18
215.05,1.275e+8,1.275e+8,8.359e-11,1.697e-18
215.07,1.378e+8,1.378e+8,8.323e-11,1.691e-18
215.08,1.351e+8,1.351e+8,8.305e-11,1.688e-18
215.10,1.156e+8,1.156e+8,8.269e-11,1.682e-18
215.12,8.471e+7,8.471e+7,8.234e-11,1.676e-18
215.13,6.839e+7,6.839e+7,8.216e-11,1.673e-18
215.15,3.966e+7,3.966e+7,8.180e-11,1.667e-18
215.17,1.969e+7,1.969e+7,8.144e-11,1.662e-18
215.18,1.308e+7,1.308e+7,8.126e-11,1.659e-18
215.20,5.142e+6,5.142e+6,8.091e-11,1.653e-18
215.22,1.729e+6,1.729e+6,8.055e-11,1.647e-18
215.23,9.461e+5,9.461e+5,8.037e-11,1.644e-18
215.25,2.520e+5,2.520e+5,8.001e-11,1.638e-18
215.27,5.743e+4,5.743e+4,7.965e-11,1.632e-18
215.28,2.586e+4,2.586e+4,7.947e-11,1.629e-18
215.30,4.667e+3,4.667e+3,7.912e-11,1.623e-18
215.32,7.208e+2,7.208e+2,7.876e-11,1.617e-18
215.33,2.672e+2,2.672e+2,7.858e-11,1.614e-18
215.35,3.268e+1,3.268e+1,7.822e-11,1.608e-18
215.37,3.420e+0,3.420e+0,7.787e-11,1.602e-18
215.38,1.044e+0,1.044e+0,7.769e-11,1.599e-18
215.40,8.649e-2,8.649e-2,7.733e-11,1.593e-18
215.42,6.134e-3,6.134e-3,7.697e-11,1.587e-18
215.43,1.541e-3,1.541e-3,7.679e-11,1.584e-18
215.45,8.652e-5,8.652e-5,7.644e-11,1.578e-18
215.47,4.158e-6,4.158e-6,7.608e-11,1.572e-18
215.48,8.599e-7,8.599e-7,7.590e-11,1.569e-18
215.50,3.272e-8,3.272e-8,7.554e-11,1.563e-18
215.52,1.066e-9,1.066e-9,7.518e-11,1.557e-18
216.42,2.738e-10,2.738e-10,5.909e-11,1.290e-18
216.43,1.562e-9,1.562e-9,5.891e-11,1.287e-18
216.45,4.530e-8,4.530e-8,5.855e-11,1.281e-18
216.47,1.128e-6,1.128e-6,5.820e-11,1.275e-18
216.48,5.311e-6,5.311e-6,5.802e-11,1.272e-18
216.50,1.051e-4,1.051e-4,5.766e-11,1.266e-18
216.52,1.784e-3,1.784e-3,5.730e-11,1.260e-18
216.53,6.939e-3,6.939e-3,5.712e-11,1.257e-18
216.55,9.362e-2,9.362e-2,5.677e-11,1.251e-18
216.57,1.084e+0,1.084e+0,5.641e-11,1.245e-18
216.58,3.482e+0,3.482e+0,5.623e-11,1.242e-18
216.60,3.205e+1,3.205e+1,5.587e-11,1.236e-18
216.62,2.531e+2,2.531e+2,5.551e-11,1.231e-18
216.63,6.714e+2,6.714e+2,5.534e-11,1.228e-18
216.65,4.214e+3,4.214e+3,5.498e-11,1.222e-18
216.67,2.270e+4,2.270e+4,5.462e-11,1.216e-18
216.68,4.973e+4,4.973e+4,5.444e-11,1.213e-18
216.70,2.129e+5,2.129e+5,5.408e-11,1.207e-18
216.72,7.820e+5,7.820e+5,5.373e-11,1.201e-18
