Wavelength (nm),Sum,Al I (3.4e-01),Al II (6.6e-01),Al III (4.9e-05)
308.73,4.731e+4,6.658e-1,4.731e+4,
308.75,7.166e+4,5.973e-1,7.165e+4,
308.77,1.006e+5,3.522e+0,1.006e+5,
308.78,1.159e+5,8.924e+0,1.159e+5,
308.8,1.455e+5,5.441e+1,1.454e+5,
308.82,1.694e+5,3.078e+2,1.691e+5,
308.83,1.780e+5,7.117e+2,1.773e+5,
308.85,1.877e+5,3.597e+3,1.841e+5,
308.87,1.941e+5,1.686e+4,1.773e+5,
308.88,2.046e+5,3.549e+4,1.691e+5,
308.9,2.940e+5,1.486e+5,1.454e+5,
308.92,6.931e+5,5.771e+5,1.159e+5,
308.93,1.206e+6,1.106e+6,1.006e+5,
308.95,3.908e+6,3.837e+6,7.165e+4,
308.97,1.239e+7,1.235e+7,4.731e+4,
308.98,2.157e+7,2.153e+7,3.737e+4,
309,6.193e+7,6.191e+7,2.203e+4,
309.02,1.651e+8,1.651e+8,1.204e+4,
309.03,2.621e+8,2.621e+8,8.657e+3,
309.05,6.245e+8,6.245e+8,4.226e+3,
309.07,1.380e+9,1.380e+9,1.913e+3,
309.08,1.994e+9,1.994e+9,1.251e+3,
309.1,3.937e+9,3.937e+9,5.058e+2,
309.12,7.209e+9,7.209e+9,1.896e+2,
309.13,9.483e+9,9.483e+9,1.129e+2,
309.15,1.551e+10,1.551e+10,3.777e+1,
309.17,2.354e+10,2.354e+10,1.172e+1,
309.18,2.819e+10,2.819e+10,6.350e+0,
309.2,3.821e+10,3.821e+10,1.760e+0,
309.22,4.805e+10,4.805e+10,4.523e-1,
309.23,5.238e+10,5.238e+10,2.229e-1,
309.25,5.884e+10,5.884e+10,5.116e-2,
309.27,6.132e+10,6.132e+10,1.089e-2,
309.28,6.085e+10,6.085e+10,4.882e-3,
309.3,5.665e+10,5.665e+10,9.277e-4,
309.32,4.892e+10,4.892e+10,1.635e-4,
309.33,4.420e+10,4.420e+10,6.671e-5,
309.35,3.410e+10,3.410e+10,1.050e-5,
309.37,2.440e+10,2.440e+10,1.532e-6,
309.38,2.007e+10,2.007e+10,5.688e-7,
309.4,1.283e+10,1.283e+10,7.411e-8,
309.42,7.610e+9,7.610e+9,8.954e-9,
309.43,5.698e+9,5.698e+9,3.025e-9,
309.45,3.019e+9,3.019e+9,3.264e-10,
309.47,1.484e+9,1.484e+9,3.265e-11,
309.48,1.012e+9,1.012e+9,1.004e-11,
309.5,4.443e+8,4.443e+8,,
309.52,1.810e+8,1.810e+8,,
309.53,1.123e+8,1.123e+8,,
309.55,4.089e+7,4.089e+7,,
309.57,1.381e+7,1.381e+7,,
309.58,7.799e+6,7.799e+6,,
309.6,2.353e+6,2.353e+6,,
