Wavelength (nm),Sum(calc),Nd I (3.8e-3),Nd II (8.9e-1)
494.500,6.971e+7,6.971e+7,1.723e-7
494.508,6.076e+7,6.076e+7,1.710e-7
494.516,5.026e+7,5.026e+7,1.697e-7
494.524,3.945e+7,3.945e+7,1.684e-7
494.532,2.939e+7,2.939e+7,1.671e-7
494.540,2.078e+7,2.078e+7,1.658e-7
494.549,1.321e+7,1.321e+7,1.643e-7
494.557,8.356e+6,8.356e+6,1.630e-7
494.565,5.016e+6,5.016e+6,1.617e-7
494.573,2.857e+6,2.857e+6,1.604e-7
494.581,1.545e+6,1.545e+6,1.591e-7
494.589,7.924e+5,7.924e+5,1.578e-7
494.597,3.858e+5,3.858e+5,1.565e-7
494.605,1.782e+5,1.782e+5,1.552e-7
494.614,7.024e+4,7.024e+4,1.537e-7
494.622,2.904e+4,2.904e+4,1.524e-7
494.630,1.139e+4,1.139e+4,1.511e-7
494.638,4.241e+3,4.241e+3,1.498e-7
494.646,1.498e+3,1.498e+3,1.485e-7
494.654,5.023e+2,5.023e+2,1.472e-7
494.662,1.598e+2,1.598e+2,1.459e-7
494.670,4.826e+1,4.826e+1,1.446e-7
494.679,1.179e+1,1.179e+1,1.431e-7
494.687,3.184e+0,3.184e+0,1.418e-7
494.695,8.163e-1,8.163e-1,1.405e-7
494.703,1.986e-1,1.986e-1,1.392e-7
494.711,4.586e-2,4.586e-2,1.379e-7
494.719,1.005e-2,1.005e-2,1.365e-7
494.727,2.090e-3,2.090e-3,1.352e-7
494.736,3.354e-4,3.354e-4,1.338e-7
494.744,6.241e-5,6.241e-5,1.325e-7
494.752,1.102e-5,1.102e-5,1.312e-7
494.760,1.846e-6,1.846e-6,1.298e-7
494.768,2.936e-7,2.936e-7,1.285e-7
494.776,4.431e-8,4.431e-8,1.272e-7
494.784,6.345e-9,6.345e-9,1.259e-7
495.174,1.482e-9,1.482e-9,6.219e-8
495.183,1.332e-8,1.332e-8,6.072e-8
495.191,8.877e-8,8.877e-8,5.941e-8
495.199,5.614e-7,5.614e-7,5.810e-8
495.207,3.370e-6,3.370e-6,5.679e-8
495.215,1.920e-5,1.920e-5,5.549e-8
495.223,1.039e-4,1.039e-4,5.418e-8
495.231,5.332e-4,5.332e-4,5.287e-8
495.239,2.598e-3,2.598e-3,5.156e-8
495.248,1.450e-2,1.450e-2,5.009e-8
495.256,6.325e-2,6.325e-2,4.879e-8
495.264,2.619e-1,2.619e-1,4.748e-8
495.272,1.029e+0,1.029e+0,4.617e-8
495.280,3.840e+0,3.840e+0,4.486e-8
495.288,1.360e+1,1.360e+1,4.356e-8
495.296,4.569e+1,4.569e+1,4.225e-8
495.305,1.679e+2,1.679e+2,4.078e-8
495.313,5.051e+2,5.051e+2,3.947e-8
495.321,1.442e+3,1.442e+3,3.816e-8
495.329,3.910e+3,3.910e+3,3.686e-8
495.337,1.006e+4,1.006e+4,3.555e-8
495.345,2.457e+4,2.457e+4,3.424e-8
495.353,5.695e+4,5.695e+4,3.293e-8
495.361,1.253e+5,1.253e+5,3.163e-8
495.370,2.859e+5,2.859e+5,3.015e-8
495.378,5.631e+5,5.631e+5,2.885e-8
495.386,1.053e+6,1.053e+6,2.754e-8
495.394,1.868e+6,1.868e+6,2.623e-8
495.402,3.146e+6,3.146e+6,2.492e-8
495.410,5.030e+6,5.030e+6,2.362e-8
495.418,7.634e+6,7.634e+6,2.231e-8
495.426,1.100e+7,1.100e+7,2.100e-8
495.435,1.558e+7,1.558e+7,1.953e-8
495.443,2.009e+7,2.009e+7,1.822e-8
495.451,2.458e+7,2.458e+7,1.692e-8
495.459,2.856e+7,2.856e+7,1.561e-8
495.467,3.149e+7,3.149e+7,1.430e-8
495.475,3.296e+7,3.296e+7,1.299e-8
495.483,3.275e+7,3.275e+7,1.169e-8
495.491,3.088e+7,3.088e+7,1.038e-8
495.500,2.716e+7,2.716e+7,8.909e-9
495.508,2.293e+7,2.293e+7,7.601e-9
495.516,1.837e+7,1.837e+7,5.426e-8
495.524,1.397e+7,1.397e+7,3.677e-7
495.532,1.009e+7,1.009e+7,2.366e-6
495.540,6.912e+6,6.912e+6,1.445e-5
495.548,4.495e+6,4.495e+6,8.374e-5
495.557,2.603e+6,2.603e+6,5.682e-4
495.565,1.516e+6,1.516e+6,2.949e-3
495.573,8.376e+5,8.376e+5,1.453e-2
495.581,4.394e+5,4.394e+5,6.793e-2
495.589,2.188e+5,2.188e+5,3.015e-1
495.597,1.034e+5,1.034e+5,1.271e+0
495.605,4.638e+4,4.638e+4,5.083e+0
495.613,1.977e+4,1.975e+4,1.930e+1
495.622,7.183e+3,7.101e+3,8.136e+1
495.630,2.983e+3,2.707e+3,2.766e+2
495.638,1.872e+3,9.792e+2,8.925e+2
495.646,3.070e+3,3.363e+2,2.734e+3
495.654,8.059e+3,1.096e+2,7.950e+3
495.662,2.198e+4,3.391e+1,2.194e+4
495.670,5.751e+4,9.959e+0,5.750e+4
495.678,1.430e+5,2.776e+0,1.430e+5
495.687,3.746e+5,6.198e-1,3.746e+5
495.695,8.341e+5,1.547e-1,8.341e+5
495.703,1.763e+6,3.663e-2,1.763e+6
495.711,3.538e+6,8.236e-3,3.538e+6
495.719,6.739e+6,1.757e-3,6.739e+6
495.727,1.218e+7,3.560e-4,1.218e+7
495.735,2.091e+7,6.844e-5,2.091e+7
495.743,3.408e+7,1.249e-5,3.408e+7
495.752,5.547e+7,1.731e-6,5.547e+7
495.760,8.095e+7,2.828e-7,8.095e+7
495.768,1.122e+8,4.386e-8,1.122e+8
495.776,1.477e+8,6.455e-9,1.477e+8
495.784,1.849e+8,,1.849e+8
495.792,2.204e+8,,2.204e+8
495.800,2.507e+8,,2.507e+8
495.809,2.757e+8,,2.757e+8
495.817,2.896e+8,,2.896e+8
495.825,2.986e+8,,2.986e+8
495.833,3.085e+8,,3.085e+8
495.841,3.270e+8,,3.270e+8
495.849,3.621e+8,,3.621e+8
495.857,4.202e+8,,4.202e+8
495.865,5.036e+8,,5.036e+8
495.874,6.231e+8,,6.231e+8
495.882,7.413e+8,,7.413e+8
495.890,8.554e+8,,8.554e+8
495.898,9.483e+8,,9.483e+8
495.906,1.004e+9,,1.004e+9
495.914,1.014e+9,,1.014e+9
495.922,9.727e+8,,9.727e+8
495.930,8.870e+8,,8.870e+8
495.939,7.519e+8,,7.519e+8
495.947,6.144e+8,,6.144e+8
495.955,4.766e+8,,4.766e+8
495.963,3.510e+8,,3.510e+8
495.971,2.454e+8,,2.454e+8
495.979,1.629e+8,,1.629e+8
495.987,1.026e+8,,1.026e+8
495.995,6.139e+7,,6.139e+7
496.004,3.235e+7,,3.235e+7
496.012,1.733e+7,,1.733e+7
496.020,8.807e+6,,8.807e+6
496.028,4.250e+6,,4.250e+6
496.036,1.947e+6,,1.947e+6
496.044,8.465e+5,,8.465e+5
496.052,3.494e+5,,3.494e+5
496.061,1.214e+5,,1.214e+5
496.069,4.485e+4,,4.485e+4
496.077,1.573e+4,,1.573e+4
496.085,5.240e+3,,5.240e+3
496.093,1.657e+3,,1.657e+3
496.101,4.972e+2,,4.972e+2
496.109,1.416e+2,,1.416e+2
496.117,3.831e+1,,3.831e+1
496.126,8.267e+0,,8.267e+0
496.134,2.002e+0,,2.002e+0
496.142,4.601e-1,,4.601e-1
496.150,1.004e-1,,1.004e-1
496.158,2.079e-2,,2.079e-2
496.166,4.088e-3,,4.088e-3
496.174,7.630e-4,,7.630e-4
496.182,1.352e-4,,1.352e-4
496.191,1.813e-5,,1.813e-5
496.199,2.876e-6,,2.876e-6
496.207,4.331e-7,,4.331e-7
496.215,6.190e-8,,6.190e-8
503.043,3.908e-8,,3.908e-8
503.051,2.665e-7,,2.665e-7
503.060,2.175e-6,,2.175e-6
503.068,1.332e-5,,1.332e-5
503.076,7.757e-5,,7.757e-5
503.084,4.295e-4,,4.295e-4
503.092,2.261e-3,,2.261e-3
503.100,1.131e-2,,1.131e-2
503.108,5.383e-2,,5.383e-2
503.116,2.435e-1,,2.435e-1
503.125,1.252e+0,,1.252e+0
503.133,5.088e+0,,5.088e+0
503.141,1.966e+1,,1.966e+1
503.149,7.219e+1,,7.219e+1
503.157,2.521e+2,,2.521e+2
503.165,8.368e+2,,8.368e+2
503.173,2.641e+3,,2.641e+3
503.181,7.924e+3,,7.924e+3
503.190,2.568e+4,,2.568e+4
503.198,6.921e+4,,6.921e+4
503.206,1.774e+5,,1.774e+5
503.214,4.321e+5,,4.321e+5
503.222,1.001e+6,,1.001e+6
503.230,2.204e+6,,2.204e+6
503.238,4.613e+6,,4.613e+6
503.247,9.972e+6,,9.972e+6
503.255,1.875e+7,,1.875e+7
503.263,3.353e+7,,3.353e+7
503.271,5.698e+7,,5.698e+7
503.279,9.209e+7,,9.209e+7
503.287,1.415e+8,,1.415e+8
503.295,2.067e+8,,2.067e+8
503.303,2.870e+8,,2.870e+8
503.312,3.909e+8,,3.909e+8
503.320,4.876e+8,,4.876e+8
503.328,5.783e+8,,5.783e+8
503.336,6.520e+8,,6.520e+8
503.344,6.989e+8,,6.989e+8
503.352,7.122e+8,,7.122e+8
503.360,6.901e+8,,6.901e+8
503.368,6.357e+8,,6.357e+8
503.377,5.457e+8,,5.457e+8
503.385,4.515e+8,,4.515e+8
503.393,3.552e+8,,3.552e+8
503.401,2.656e+8,,2.656e+8
503.409,1.889e+8,,1.889e+8
503.417,1.277e+8,,1.277e+8
503.425,8.206e+7,,8.206e+7
503.433,5.014e+7,,5.014e+7
503.442,2.712e+7,,2.712e+7
503.450,1.489e+7,,1.489e+7
503.458,7.768e+6,,7.768e+6
503.466,3.854e+6,,3.854e+6
503.474,1.818e+6,,1.818e+6
503.482,8.151e+5,,8.151e+5
503.490,3.475e+5,,3.475e+5
503.499,1.254e+5,,1.254e+5
503.507,4.801e+4,,4.801e+4
503.515,1.748e+4,,1.748e+4
503.523,6.050e+3,,6.050e+3
503.531,1.991e+3,,1.991e+3
503.539,6.229e+2,,6.229e+2
503.547,1.853e+2,,1.853e+2
503.555,5.239e+1,,5.239e+1
503.564,1.191e+1,,1.191e+1
503.572,3.026e+0,,3.026e+0
503.580,7.307e-1,,7.307e-1
503.588,1.678e-1,,1.678e-1
503.596,3.662e-2,,3.662e-2
503.604,7.601e-3,,7.601e-3
503.612,1.500e-3,,1.500e-3
503.620,2.813e-4,,2.813e-4
