Wavelength (nm),Sum(calc),Si I (1.1e-1),Si II (8.9e-1),Si III (7.3e-4)
244.105,5.365e-3,1.244e-8,5.365e-3,1.432e-20
244.110,7.973e-4,1.243e-8,7.973e-4,1.428e-20
244.115,1.089e-4,1.242e-8,1.089e-4,1.425e-20
244.120,1.368e-5,1.242e-8,1.368e-5,1.421e-20
244.125,1.581e-6,1.241e-8,1.581e-6,1.418e-20
244.130,1.679e-7,1.240e-8,1.679e-7,1.414e-20
244.135,1.639e-8,1.240e-8,1.639e-8,1.410e-20
244.140,1.471e-9,1.239e-8,1.471e-9,1.407e-20
244.145,1.215e-10,1.238e-8,1.215e-10,1.403e-20
244.150,9.218e-12,1.238e-8,9.218e-12,1.400e-20
244.190,1.962e-13,1.232e-8,1.962e-13,1.371e-20
244.195,2.836e-12,1.232e-8,2.836e-12,1.367e-20
244.200,3.772e-11,1.231e-8,3.772e-11,1.364e-20
244.205,4.613e-10,1.230e-8,4.613e-10,1.360e-20
244.210,5.188e-9,1.230e-8,5.188e-9,1.356e-20
244.215,5.366e-8,1.229e-8,5.366e-8,1.353e-20
244.220,5.105e-7,1.228e-8,5.105e-7,1.349e-20
244.225,4.466e-6,1.228e-8,4.466e-6,1.346e-20
244.230,3.593e-5,1.227e-8,3.593e-5,1.342e-20
244.235,2.659e-4,1.226e-8,2.659e-4,1.338e-20
244.240,1.809e-3,1.226e-8,1.809e-3,1.335e-20
244.245,1.132e-2,1.225e-8,1.132e-2,1.331e-20
244.250,6.518e-2,1.224e-8,6.518e-2,1.328e-20
244.255,3.450e-1,1.224e-8,3.450e-1,1.324e-20
244.260,1.680e+0,1.223e-8,1.680e+0,1.320e-20
244.265,7.519e+0,1.222e-8,7.519e+0,1.317e-20
244.270,3.096e+1,1.222e-8,3.096e+1,1.313e-20
244.275,1.172e+2,1.221e-8,1.172e+2,1.310e-20
244.280,4.083e+2,1.220e-8,4.083e+2,1.306e-20
244.285,1.308e+3,1.220e-8,1.308e+3,1.302e-20
244.290,3.851e+3,1.219e-8,3.851e+3,1.299e-20
244.295,1.043e+4,1.218e-8,1.043e+4,1.295e-20
244.300,2.599e+4,1.218e-8,2.599e+4,1.292e-20
244.305,5.955e+4,1.217e-8,5.955e+4,1.288e-20
244.310,1.255e+5,1.216e-8,1.255e+5,1.284e-20
244.315,2.431e+5,1.216e-8,2.431e+5,1.281e-20
244.320,4.333e+5,1.215e-8,4.333e+5,1.277e-20
244.325,7.102e+5,1.214e-8,7.102e+5,1.274e-20
244.329,9.927e+5,1.214e-8,9.927e+5,1.271e-20
244.334,1.399e+6,1.213e-8,1.399e+6,1.267e-20
244.339,1.814e+6,1.212e-8,1.814e+6,1.264e-20
244.344,2.163e+6,1.212e-8,2.163e+6,1.260e-20
244.349,2.372e+6,1.211e-8,2.372e+6,1.256e-20
244.354,2.392e+6,1.210e-8,2.392e+6,1.253e-20
244.359,2.218e+6,1.210e-8,2.218e+6,1.249e-20
244.364,1.892e+6,1.209e-8,1.892e+6,1.246e-20
244.369,1.484e+6,1.208e-8,1.484e+6,1.242e-20
244.374,1.070e+6,1.208e-8,1.070e+6,1.238e-20
244.379,7.102e+5,1.207e-8,7.102e+5,1.235e-20
244.384,4.333e+5,1.206e-8,4.333e+5,1.231e-20
244.389,2.431e+5,1.206e-8,2.431e+5,1.227e-20
244.394,1.255e+5,1.205e-8,1.255e+5,1.224e-20
244.399,5.955e+4,1.204e-8,5.955e+4,1.220e-20
244.404,2.599e+4,1.204e-8,2.599e+4,1.217e-20
244.409,1.043e+4,1.203e-8,1.043e+4,1.213e-20
244.414,3.851e+3,1.202e-8,3.851e+3,1.209e-20
244.419,1.308e+3,1.202e-8,1.308e+3,1.206e-20
244.424,4.083e+2,1.201e-8,4.083e+2,1.202e-20
244.429,1.172e+2,1.200e-8,1.172e+2,1.199e-20
244.434,3.096e+1,1.200e-8,3.096e+1,1.195e-20
244.439,7.519e+0,1.199e-8,7.519e+0,1.191e-20
244.444,1.680e+0,1.198e-8,1.680e+0,1.188e-20
244.449,3.450e-1,1.198e-8,3.450e-1,1.184e-20
244.454,6.518e-2,1.197e-8,6.518e-2,1.181e-20
244.459,1.132e-2,1.196e-8,1.132e-2,1.177e-20
244.464,1.809e-3,1.196e-8,1.809e-3,1.173e-20
244.469,2.659e-4,1.195e-8,2.659e-4,1.170e-20
244.474,3.593e-5,1.194e-8,3.593e-5,1.166e-20
244.479,4.466e-6,1.194e-8,4.466e-6,1.163e-20
244.484,5.105e-7,1.193e-8,5.105e-7,1.159e-20
244.489,5.366e-8,1.192e-8,5.366e-8,1.155e-20
244.494,5.188e-9,1.192e-8,5.188e-9,1.152e-20
244.499,4.613e-10,1.191e-8,4.613e-10,1.148e-20
244.504,3.772e-11,1.190e-8,3.772e-11,1.145e-20
244.784,9.429e-21,1.153e-8,3.583e-11,9.429e-21
244.789,1.425e-19,1.152e-8,3.580e-11,1.425e-19
244.794,1.867e-18,1.152e-8,3.577e-11,1.867e-18
244.799,2.249e-17,1.151e-8,3.573e-11,2.249e-17
244.804,2.493e-16,1.150e-8,3.570e-11,2.493e-16
244.809,2.545e-15,1.150e-8,3.567e-11,2.545e-15
244.814,2.392e-14,1.149e-8,3.563e-11,2.392e-14
244.819,2.069e-13,1.148e-8,3.560e-11,2.069e-13
244.824,1.648e-12,1.148e-8,3.557e-11,1.648e-12
244.829,1.209e-11,1.147e-8,3.553e-11,1.209e-11
244.834,8.163e-11,1.146e-8,3.550e-11,8.163e-11
244.839,5.076e-10,1.146e-8,3.546e-11,5.076e-10
244.844,2.907e-9,1.145e-8,3.543e-11,2.907e-9
244.849,1.533e-8,1.144e-8,3.540e-11,1.533e-8
244.854,7.445e-8,1.144e-8,3.536e-11,7.445e-8
244.859,3.330e-7,1.143e-8,3.533e-11,3.330e-7
244.864,1.372e-6,1.142e-8,3.530e-11,1.372e-6
244.869,5.209e-6,1.142e-8,3.526e-11,5.209e-6
244.874,1.821e-5,1.141e-8,3.523e-11,1.821e-5
244.879,5.868e-5,1.140e-8,3.520e-11,5.868e-5
244.884,1.742e-4,1.140e-8,3.516e-11,1.742e-4
244.889,4.764e-4,1.139e-8,3.513e-11,4.764e-4
244.894,1.201e-3,1.138e-8,3.510e-11,1.201e-3
244.899,2.789e-3,1.138e-8,3.506e-11,2.789e-3
244.904,5.969e-3,1.137e-8,3.503e-11,5.969e-3
244.909,1.178e-2,1.136e-8,3.499e-11,1.178e-2
244.914,2.142e-2,1.136e-8,3.496e-11,2.142e-2
244.919,3.590e-2,1.135e-8,3.493e-11,3.590e-2
244.924,5.547e-2,1.134e-8,3.489e-11,5.547e-2
244.929,7.903e-2,1.134e-8,3.486e-11,7.903e-2
244.934,1.038e-1,1.133e-8,3.483e-11,1.038e-1
244.939,1.257e-1,1.132e-8,3.479e-11,1.257e-1
244.944,1.403e-1,1.132e-8,3.476e-11,1.403e-1
244.949,1.444e-1,1.131e-8,3.473e-11,1.444e-1
244.954,1.370e-1,1.130e-8,3.469e-11,1.370e-1
244.959,1.199e-1,1.130e-8,3.466e-11,1.199e-1
244.964,9.673e-2,1.129e-8,3.462e-11,9.673e-2
244.969,7.195e-2,1.128e-8,3.459e-11,7.195e-2
244.974,4.934e-2,1.128e-8,3.456e-11,4.934e-2
244.979,3.120e-2,1.127e-8,3.452e-11,3.120e-2
244.984,1.819e-2,1.126e-8,3.449e-11,1.819e-2
244.989,9.772e-3,1.126e-8,3.446e-11,9.772e-3
244.994,4.841e-3,1.125e-8,3.442e-11,4.841e-3
244.999,2.211e-3,1.124e-8,3.439e-11,2.211e-3
245.004,9.304e-4,1.124e-8,3.436e-11,9.304e-4
245.009,3.609e-4,1.123e-8,3.432e-11,3.609e-4
245.014,1.290e-4,1.122e-8,3.429e-11,1.290e-4
245.019,4.252e-5,1.122e-8,3.425e-11,4.252e-5
245.024,1.291e-5,1.121e-8,3.422e-11,1.291e-5
245.029,3.612e-6,1.120e-8,3.419e-11,3.612e-6
245.034,9.311e-7,1.120e-8,3.415e-11,9.311e-7
245.039,2.211e-7,1.119e-8,3.412e-11,2.211e-7
245.044,4.838e-8,1.118e-8,3.409e-11,4.838e-8
245.048,1.352e-8,1.118e-8,3.406e-11,1.352e-8
245.053,2.552e-9,1.117e-8,3.403e-11,2.552e-9
245.058,4.438e-10,1.116e-8,3.399e-11,4.438e-10
245.063,7.106e-11,1.116e-8,3.396e-11,7.106e-11
245.068,1.048e-11,1.115e-8,3.393e-11,1.048e-11
245.073,1.423e-12,1.114e-8,3.389e-11,1.423e-12
245.078,1.780e-13,1.114e-8,3.386e-11,1.780e-13
245.083,2.050e-14,1.113e-8,3.382e-11,2.050e-14
245.088,2.174e-15,1.112e-8,3.379e-11,2.174e-15
245.093,2.123e-16,1.112e-8,3.376e-11,2.123e-16
245.098,1.909e-17,1.111e-8,3.372e-11,1.909e-17
245.103,1.580e-18,1.110e-8,3.369e-11,1.580e-18
245.108,1.143e-19,1.110e-8,3.366e-11,1.143e-19
245.113,1.606e-21,1.109e-8,3.362e-11,1.606e-21
246.432,2.297e-21,9.332e-9,2.476e-11,2.297e-21
246.437,3.012e-20,9.325e-9,2.472e-11,3.012e-20
246.442,3.638e-19,9.319e-9,2.469e-11,3.638e-19
246.447,4.048e-18,9.312e-9,2.466e-11,4.048e-18
246.452,4.148e-17,9.305e-9,2.462e-11,4.148e-17
246.457,3.915e-16,9.299e-9,2.459e-11,3.915e-16
246.462,3.404e-15,9.292e-9,2.456e-11,3.404e-15
246.467,2.725e-14,9.285e-9,2.452e-11,2.725e-14
246.472,2.010e-13,9.279e-9,2.449e-11,2.010e-13
246.477,1.365e-12,9.272e-9,2.445e-11,1.365e-12
246.481,5.959e-12,9.267e-9,2.443e-11,5.959e-12
246.486,3.491e-11,9.260e-9,2.439e-11,3.491e-11
246.491,1.884e-10,9.253e-9,2.436e-11,1.884e-10
246.496,9.362e-10,9.247e-9,2.433e-11,9.362e-10
246.501,4.286e-9,9.240e-9,2.429e-11,4.286e-9
246.506,1.807e-8,9.233e-9,2.426e-11,1.807e-8
246.511,7.018e-8,9.226e-9,2.423e-11,7.018e-8
246.516,2.510e-7,9.220e-9,2.419e-11,2.510e-7
246.521,8.270e-7,9.213e-9,2.416e-11,8.270e-7
246.526,2.510e-6,9.206e-9,2.413e-11,2.510e-6
246.531,7.015e-6,9.200e-9,2.409e-11,7.015e-6
246.536,1.806e-5,9.193e-9,2.406e-11,1.806e-5
246.541,4.282e-5,9.186e-9,2.402e-11,4.282e-5
246.546,9.352e-5,9.180e-9,2.399e-11,9.352e-5
246.551,1.881e-4,9.173e-9,2.396e-11,1.881e-4
246.556,3.486e-4,9.166e-9,2.392e-11,3.486e-4
246.561,5.948e-4,9.160e-9,2.389e-11,5.948e-4
246.566,9.350e-4,9.153e-9,2.386e-11,9.350e-4
246.571,1.354e-3,9.146e-9,2.382e-11,1.354e-3
246.576,1.805e-3,9.140e-9,2.379e-11,1.805e-3
246.581,2.217e-3,9.133e-9,2.376e-11,2.217e-3
246.586,2.508e-3,9.126e-9,2.372e-11,2.508e-3
246.591,2.613e-3,9.120e-9,2.369e-11,2.613e-3
246.596,2.508e-3,9.113e-9,2.366e-11,2.508e-3
246.601,2.217e-3,9.106e-9,2.362e-11,2.217e-3
246.606,1.805e-3,9.100e-9,2.359e-11,1.805e-3
246.611,1.354e-3,9.093e-9,2.355e-11,1.354e-3
246.616,9.350e-4,9.086e-9,2.352e-11,9.350e-4
246.621,5.948e-4,9.080e-9,2.349e-11,5.948e-4
246.626,3.486e-4,9.073e-9,2.345e-11,3.486e-4
246.631,1.881e-4,9.066e-9,2.342e-11,1.881e-4
246.636,9.352e-5,9.060e-9,2.339e-11,9.352e-5
246.641,4.282e-5,9.053e-9,2.335e-11,4.282e-5
246.646,1.806e-5,9.046e-9,2.332e-11,1.806e-5
246.651,7.015e-6,9.040e-9,2.329e-11,7.015e-6
246.656,2.510e-6,9.033e-9,2.325e-11,2.510e-6
246.661,8.270e-7,9.026e-9,2.322e-11,8.270e-7
246.666,2.510e-7,9.020e-9,2.318e-11,2.510e-7
246.671,7.018e-8,9.013e-9,2.315e-11,7.018e-8
246.676,1.807e-8,9.006e-9,2.312e-11,1.807e-8
246.681,4.286e-9,9.000e-9,2.308e-11,4.286e-9
246.686,9.362e-10,8.993e-9,2.305e-11,9.362e-10
246.691,1.884e-10,8.986e-9,2.302e-11,1.884e-10
246.696,3.491e-11,8.980e-9,2.298e-11,3.491e-11
246.701,5.959e-12,8.973e-9,2.295e-11,5.959e-12
246.706,9.369e-13,8.966e-9,2.292e-11,9.369e-13
246.711,1.357e-13,8.960e-9,2.288e-11,1.357e-13
246.716,1.810e-14,8.953e-9,2.285e-11,1.810e-14
246.721,2.223e-15,8.946e-9,2.281e-11,2.223e-15
246.726,2.515e-16,8.940e-9,2.278e-11,2.515e-16
