Wavelength (nm),Sum(calc),Ni I (6.8e-2),Ni II (9.3e-1),Ni III (6.9e-4)
205.930,9.823e+4,9.823e+4,,
205.935,3.809e+5,3.809e+5,,
205.940,1.312e+6,1.312e+6,,
205.945,4.020e+6,4.020e+6,,
205.950,1.095e+7,1.095e+7,,
205.955,2.649e+7,2.649e+7,,
205.960,5.698e+7,5.698e+7,,
205.965,1.089e+8,1.089e+8,,
205.970,1.851e+8,1.851e+8,,
205.975,2.796e+8,2.796e+8,,
205.980,3.754e+8,3.754e+8,,
205.985,4.480e+8,4.480e+8,,
205.990,4.752e+8,4.752e+8,,
205.995,4.480e+8,4.480e+8,,
206.000,3.754e+8,3.754e+8,,
206.005,2.796e+8,2.796e+8,,
206.010,1.851e+8,1.851e+8,,
206.015,1.089e+8,1.089e+8,,
206.020,5.698e+7,5.698e+7,,
206.025,2.649e+7,2.649e+7,,
206.030,1.095e+7,1.095e+7,,
206.035,4.020e+6,4.020e+6,,
206.040,1.312e+6,1.312e+6,,
206.045,3.809e+5,3.809e+5,,
206.050,9.823e+4,9.823e+4,,
206.055,2.252e+4,2.252e+4,,
206.060,4.589e+3,4.589e+3,,
206.065,8.311e+2,8.311e+2,,
206.070,1.338e+2,1.338e+2,,
206.075,1.914e+1,1.914e+1,,
206.080,2.435e+0,2.435e+0,,
206.085,2.752e-1,2.752e-1,,
206.090,2.766e-2,2.766e-2,,
206.095,2.470e-3,2.470e-3,,
206.100,1.961e-4,1.961e-4,,
206.105,1.383e-5,1.383e-5,,
206.110,8.676e-7,8.676e-7,,
206.115,4.837e-8,4.837e-8,,
206.120,2.396e-9,2.396e-9,,
206.125,1.055e-10,1.055e-10,,
208.417,4.011e-10,4.011e-10,,
208.422,9.042e-9,9.042e-9,,
208.427,1.817e-7,1.817e-7,,
208.432,3.254e-6,3.254e-6,,
208.438,8.916e-5,8.916e-5,,
208.443,1.240e-3,1.240e-3,,
208.448,1.537e-2,1.537e-2,,
208.453,1.699e-1,1.699e-1,,
208.458,1.674e+0,1.674e+0,,
208.463,1.470e+1,1.470e+1,,
208.468,1.151e+2,1.151e+2,,
208.473,8.028e+2,8.028e+2,,
208.478,4.994e+3,4.994e+3,,
208.483,2.769e+4,2.769e+4,,
208.488,1.368e+5,1.368e+5,,
208.493,6.029e+5,6.029e+5,,
208.498,2.368e+6,2.368e+6,,
208.503,8.290e+6,8.290e+6,,
208.508,2.587e+7,2.587e+7,,
208.513,7.196e+7,7.196e+7,,
208.518,1.784e+8,1.784e+8,,
208.523,3.944e+8,3.944e+8,,
208.528,7.772e+8,7.772e+8,,
208.533,1.365e+9,1.365e+9,,
208.538,2.137e+9,2.137e+9,,
208.543,2.983e+9,2.983e+9,,
208.548,3.711e+9,3.711e+9,,
208.553,4.116e+9,4.116e+9,,
208.558,4.069e+9,4.069e+9,,
208.563,3.585e+9,3.585e+9,,
208.568,2.816e+9,2.816e+9,,
208.573,1.972e+9,1.972e+9,,
208.578,1.231e+9,1.231e+9,,
208.583,6.849e+8,6.849e+8,,
208.588,3.397e+8,3.397e+8,,
208.593,1.502e+8,1.502e+8,,
208.598,5.919e+7,5.919e+7,,
208.603,2.079e+7,2.079e+7,,
208.608,6.512e+6,6.512e+6,,
208.613,1.818e+6,1.818e+6,,
208.618,4.523e+5,4.523e+5,,
208.623,1.003e+5,1.003e+5,,
208.628,1.984e+4,1.984e+4,,
208.633,3.497e+3,3.497e+3,,
208.638,5.494e+2,5.494e+2,,
208.643,7.694e+1,7.694e+1,,
208.648,9.606e+0,9.606e+0,,
208.653,1.069e+0,1.069e+0,,
208.658,1.061e-1,1.061e-1,,
208.663,9.378e-3,9.378e-3,,
208.668,7.392e-4,7.392e-4,,
208.673,5.194e-5,5.194e-5,,
208.678,3.254e-6,3.254e-6,,
208.683,1.817e-7,1.817e-7,,
208.688,9.042e-9,9.042e-9,,
208.873,3.508e-10,8.553e-9,3.508e-10,
208.878,7.624e-9,8.540e-9,7.624e-9,
208.883,1.478e-7,8.527e-9,1.478e-7,
208.888,2.555e-6,8.514e-9,2.555e-6,
208.893,3.939e-5,8.501e-9,3.939e-5,
208.898,5.415e-4,8.487e-9,5.415e-4,
208.903,6.641e-3,8.474e-9,6.641e-3,
208.908,7.263e-2,8.461e-9,7.263e-2,
208.913,7.084e-1,8.448e-9,7.084e-1,
208.918,6.162e+0,8.435e-9,6.162e+0,
208.923,4.781e+1,8.421e-9,4.781e+1,
208.928,3.308e+2,8.408e-9,3.308e+2,
208.933,2.041e+3,8.395e-9,2.041e+3,
208.938,1.123e+4,8.382e-9,1.123e+4,
208.943,5.514e+4,8.369e-9,5.514e+4,
