Wavelength (nm),Sum(calc),Mn I (3.3e-2),Mn II (9.6e-1)
209.789,5.154e+7,,5.154e+7
209.794,1.918e+7,,1.918e+7
209.799,6.368e+6,,6.368e+6
209.804,1.887e+6,,1.887e+6
209.809,4.993e+5,,4.993e+5
209.814,1.179e+5,,1.179e+5
209.819,2.485e+4,,2.485e+4
209.824,4.674e+3,,4.674e+3
209.829,7.849e+2,,7.849e+2
209.834,1.176e+2,,1.176e+2
209.839,1.574e+1,,1.574e+1
209.844,1.879e+0,,1.879e+0
209.849,2.002e-1,,2.002e-1
209.854,1.905e-2,,1.905e-2
209.859,1.617e-3,,1.617e-3
209.864,1.225e-4,,1.225e-4
209.869,8.289e-6,,8.289e-6
209.874,5.004e-7,,5.004e-7
209.879,2.697e-8,,2.697e-8
209.884,1.297e-9,,1.297e-9
209.889,5.569e-11,,5.569e-11
210.104,1.326e-12,,1.326e-12
210.109,3.408e-11,,3.408e-11
210.114,7.819e-10,,7.819e-10
210.119,1.602e-8,,1.602e-8
210.124,2.932e-7,,2.932e-7
210.129,4.792e-6,,4.792e-6
210.134,6.994e-5,,6.994e-5
210.139,9.117e-4,,9.117e-4
210.144,1.061e-2,,1.061e-2
210.149,1.103e-1,,1.103e-1
210.154,1.024e+0,,1.024e+0
210.159,8.491e+0,,8.491e+0
210.164,6.287e+1,,6.287e+1
210.169,4.157e+2,,4.157e+2
210.174,2.455e+3,,2.455e+3
210.179,1.295e+4,,1.295e+4
210.184,6.097e+4,,6.097e+4
210.189,2.564e+5,,2.564e+5
210.194,9.632e+5,,9.632e+5
210.199,3.231e+6,,3.231e+6
210.204,9.679e+6,,9.679e+6
210.209,2.589e+7,,2.589e+7
210.214,6.186e+7,,6.186e+7
210.219,1.320e+8,,1.320e+8
210.224,2.515e+8,,2.515e+8
210.229,4.280e+8,,4.280e+8
210.234,6.504e+8,,6.504e+8
210.239,8.827e+8,,8.827e+8
210.244,1.070e+9,,1.070e+9
210.249,1.158e+9,,1.158e+9
210.254,1.119e+9,,1.119e+9
210.259,9.663e+8,,9.663e+8
210.264,7.450e+8,,7.450e+8
210.269,5.129e+8,,5.129e+8
210.274,3.154e+8,,3.154e+8
210.279,1.732e+8,,1.732e+8
210.284,8.491e+7,,8.491e+7
210.289,3.719e+7,,3.719e+7
210.294,1.454e+7,,1.454e+7
210.299,5.079e+6,,5.079e+6
210.304,1.584e+6,,1.584e+6
210.309,4.413e+5,,4.413e+5
210.314,1.098e+5,,1.098e+5
210.319,2.439e+4,,2.439e+4
210.324,4.839e+3,,4.839e+3
210.329,8.574e+2,,8.574e+2
210.334,1.357e+2,,1.357e+2
210.339,1.917e+1,,1.917e+1
210.344,2.419e+0,,2.419e+0
210.349,2.727e-1,,2.727e-1
210.354,2.744e-2,,2.744e-2
210.359,2.467e-3,,2.467e-3
210.364,1.980e-4,,1.980e-4
210.369,1.419e-5,,1.419e-5
210.374,9.087e-7,,9.087e-7
210.379,5.195e-8,,5.195e-8
210.384,2.653e-9,,2.653e-9
210.389,1.210e-10,,1.210e-10
210.394,4.926e-12,,4.926e-12
211.253,8.612e-12,,8.612e-12
211.258,2.089e-10,,2.089e-10
211.263,4.531e-9,,4.531e-9
211.268,8.787e-8,,8.787e-8
211.273,1.524e-6,,1.524e-6
211.278,2.363e-5,,2.363e-5
211.283,3.276e-4,,3.276e-4
211.288,4.060e-3,,4.060e-3
211.293,4.501e-2,,4.501e-2
211.298,4.460e-1,,4.460e-1
211.302,2.578e+0,,2.578e+0
211.307,2.089e+1,,2.089e+1
211.312,1.514e+2,,1.514e+2
211.317,9.805e+2,,9.805e+2
211.322,5.680e+3,,5.680e+3
211.327,2.942e+4,,2.942e+4
211.332,1.362e+5,,1.362e+5
211.337,5.642e+5,,5.642e+5
211.342,2.089e+6,,2.089e+6
211.347,6.916e+6,,6.916e+6
211.352,2.047e+7,,2.047e+7
211.357,5.419e+7,,5.419e+7
211.362,1.282e+8,,1.282e+8
211.367,2.714e+8,,2.714e+8
211.372,5.135e+8,,5.135e+8
211.377,8.689e+8,,8.689e+8
211.382,1.314e+9,,1.314e+9
211.387,1.778e+9,,1.778e+9
211.392,2.150e+9,,2.150e+9
211.397,2.326e+9,,2.326e+9
211.402,2.249e+9,,2.249e+9
211.407,1.944e+9,,1.944e+9
211.412,1.503e+9,,1.503e+9
211.417,1.039e+9,,1.039e+9
211.422,6.423e+8,,6.423e+8
211.427,3.550e+8,,3.550e+8
211.432,1.754e+8,,1.754e+8
211.437,7.752e+7,,7.752e+7
211.442,3.063e+7,,3.063e+7
211.447,1.082e+7,,1.082e+7
211.452,3.418e+6,,3.418e+6
211.457,9.652e+5,,9.652e+5
211.462,2.438e+5,,2.438e+5
211.467,5.504e+4,,5.504e+4
211.472,1.111e+4,,1.111e+4
211.477,2.006e+3,,2.006e+3
211.482,3.239e+2,,3.239e+2
211.487,4.675e+1,,4.675e+1
211.492,6.034e+0,,6.034e+0
211.497,6.963e-1,,6.963e-1
211.502,7.184e-2,,7.184e-2
211.507,6.628e-3,,6.628e-3
211.512,5.468e-4,,5.468e-4
211.517,4.033e-5,,4.033e-5
211.522,2.660e-6,,2.660e-6
211.527,1.569e-7,,1.569e-7
211.532,8.272e-9,,8.272e-9
211.537,3.900e-10,,3.900e-10
211.797,3.061e-13,,3.061e-13
211.802,7.637e-12,,7.637e-12
211.807,1.705e-10,,1.705e-10
211.812,3.404e-9,,3.404e-9
211.817,6.082e-8,,6.082e-8
211.822,9.721e-7,,9.721e-7
211.827,1.390e-5,,1.390e-5
211.832,1.779e-4,,1.779e-4
211.837,2.036e-3,,2.036e-3
211.842,2.085e-2,,2.085e-2
211.847,1.910e-1,,1.910e-1
211.852,1.566e+0,,1.566e+0
211.857,1.148e+1,,1.148e+1
211.862,7.533e+1,,7.533e+1
211.867,4.421e+2,,4.421e+2
211.872,2.322e+3,,2.322e+3
211.877,1.091e+4,,1.091e+4
211.882,4.586e+4,,4.586e+4
211.887,1.725e+5,,1.725e+5
211.892,5.803e+5,,5.803e+5
211.897,1.747e+6,,1.747e+6
