Wavelength (nm),Au I
482.17,1.531e-10
482.19,3.184e-11
482.20,1.435e-11
482.22,2.848e-12
482.24,5.480e-13
482.26,1.022e-13
582.42,1.941e-13
582.44,7.745e-13
582.45,1.535e-12
582.47,5.935e-12
582.49,2.247e-11
582.51,8.327e-11
582.52,1.590e-10
582.54,5.711e-10
582.56,2.008e-9
582.58,6.911e-9
582.59,1.272e-8
582.61,4.242e-8
582.63,1.385e-7
582.65,4.428e-7
582.66,7.854e-7
582.68,2.432e-6
582.70,7.376e-6
582.72,2.190e-5
582.73,3.743e-5
582.75,1.077e-4
582.77,3.032e-4
582.79,8.360e-4
582.80,1.377e-3
582.82,3.679e-3
582.84,9.622e-3
582.86,2.464e-2
582.87,3.912e-2
582.89,9.704e-2
582.91,2.357e-1
582.93,5.606e-1
582.94,8.576e-1
582.96,1.976e+0
582.98,4.457e+0
583.00,9.845e+0
583.02,2.129e+1
583.03,3.106e+1
583.05,6.507e+1
583.07,1.335e+2
583.09,2.680e+2
583.10,3.768e+2
583.12,7.332e+2
583.14,1.397e+3
583.16,2.605e+3
583.17,3.530e+3
583.19,6.378e+3
583.21,1.128e+4
583.23,1.955e+4
583.24,2.552e+4
583.26,4.283e+4
583.28,7.037e+4
583.30,1.132e+5
583.31,1.424e+5
583.33,2.220e+5
583.35,3.388e+5
583.37,5.061e+5
583.38,6.137e+5
583.40,8.883e+5
583.42,1.259e+6
583.44,1.747e+6
583.45,2.041e+6
583.47,2.744e+6
583.49,3.611e+6
583.51,4.653e+6
583.52,5.241e+6
583.54,6.543e+6
583.56,7.997e+6
583.58,9.570e+6
583.60,1.121e+7
583.61,1.204e+7
583.63,1.367e+7
583.65,1.519e+7
583.67,1.653e+7
583.68,1.711e+7
583.70,1.804e+7
583.72,1.862e+7
583.74,1.882e+7
583.75,1.877e+7
583.77,1.838e+7
583.79,1.762e+7
583.81,1.653e+7
583.82,1.589e+7
583.84,1.445e+7
583.86,1.286e+7
583.88,1.121e+7
583.89,1.039e+7
583.91,8.772e+6
583.93,7.252e+6
583.95,5.871e+6
583.96,5.241e+6
583.98,4.110e+6
584.00,3.156e+6
584.02,2.373e+6
584.03,2.041e+6
584.05,1.487e+6
584.07,1.060e+6
584.09,7.403e+5
584.10,6.137e+5
584.12,4.152e+5
584.14,2.750e+5
584.16,1.783e+5
584.18,1.132e+5
584.19,8.949e+4
584.21,5.504e+4
584.23,3.315e+4
584.25,1.955e+4
584.26,1.489e+4
584.28,8.506e+3
584.30,4.757e+3
584.32,2.605e+3
584.33,1.913e+3
584.35,1.015e+3
584.37,5.270e+2
584.39,2.680e+2
584.40,1.896e+2
584.42,9.343e+1
584.44,4.507e+1
584.46,2.129e+1
584.47,1.452e+1
584.49,6.642e+0
584.51,2.976e+0
584.53,1.305e+0
584.54,8.576e-1
584.56,3.645e-1
584.58,1.516e-1
584.60,6.178e-2
584.61,3.912e-2
584.63,1.544e-2
584.65,5.966e-3
584.67,2.257e-3
584.68,1.377e-3
584.70,5.048e-4
584.72,1.812e-4
584.74,6.366e-5
584.76,2.190e-5
584.77,1.274e-5
584.79,4.247e-6
584.81,1.386e-6
584.83,4.428e-7
