Wavelength (nm),Au I
331.42,3.363e-5
331.44,2.310e-4
331.46,1.486e-3
331.48,8.955e-3
331.49,2.145e-2
331.51,1.172e-1
331.53,6.000e-1
331.55,2.877e+0
331.56,6.147e+0
331.58,2.673e+1
331.60,1.088e+2
331.62,4.152e+2
331.63,7.914e+2
331.65,2.738e+3
331.67,8.871e+3
331.69,2.693e+4
331.70,4.578e+4
331.72,1.260e+5
331.74,3.248e+5
331.76,7.845e+5
331.78,1.775e+6
331.79,2.605e+6
331.81,5.344e+6
331.83,1.027e+7
331.85,1.848e+7
331.86,2.420e+7
331.88,3.949e+7
331.90,6.038e+7
331.92,8.648e+7
331.93,1.010e+8
331.95,1.311e+8
331.97,1.595e+8
331.99,1.818e+8
332.00,1.894e+8
332.02,1.957e+8
332.04,1.894e+8
332.06,1.717e+8
332.07,1.595e+8
332.09,1.311e+8
332.11,1.010e+8
332.13,7.286e+7
332.14,6.038e+7
332.16,3.949e+7
332.18,2.420e+7
332.20,1.389e+7
332.21,1.027e+7
332.23,5.344e+6
332.25,2.605e+6
332.27,1.190e+6
332.28,7.845e+5
332.30,3.248e+5
332.32,1.260e+5
332.34,4.578e+4
332.36,1.558e+4
332.37,8.871e+3
332.39,2.738e+3
332.41,7.914e+2
332.43,2.143e+2
332.44,1.088e+2
332.46,2.673e+1
332.48,6.147e+0
332.50,1.325e+0
332.51,6.000e-1
332.53,1.172e-1
332.55,2.145e-2
332.57,3.678e-3
332.58,1.486e-3
332.60,2.310e-4
332.62,3.363e-5
332.64,4.588e-6
332.65,1.653e-6
332.67,2.045e-7
332.69,2.369e-8
332.71,2.571e-9
332.72,8.266e-10
332.74,8.134e-11
332.76,7.498e-12
332.78,6.475e-13
332.79,1.857e-13
332.81,1.454e-14
378.69,8.208e-15
378.71,7.776e-14
378.72,2.349e-13
378.74,2.065e-12
378.76,1.726e-11
378.78,1.373e-10
378.79,3.800e-10
378.81,2.804e-9
378.83,1.969e-8
378.85,1.315e-7
378.87,8.350e-7
378.88,2.065e-6
378.90,1.217e-5
378.92,6.824e-5
378.94,3.639e-4
378.95,8.248e-4
378.97,4.081e-3
378.99,1.921e-2
379.01,8.599e-2
379.02,1.786e-1
379.04,7.418e-1
379.06,2.931e+0
379.08,1.102e+1
379.09,2.097e+1
379.11,7.311e+1
379.13,2.426e+2
379.15,7.655e+2
379.16,1.335e+3
379.18,3.907e+3
379.20,1.088e+4
379.22,2.883e+4
379.23,4.606e+4
379.25,1.132e+5
379.27,2.648e+5
379.29,5.889e+5
379.30,8.621e+5
379.32,1.779e+6
379.34,3.493e+6
379.36,6.522e+6
379.38,1.159e+7
379.39,1.516e+7
379.41,2.498e+7
379.43,3.916e+7
379.45,5.841e+7
379.46,7.001e+7
379.48,9.688e+7
379.50,1.275e+8
379.52,1.597e+8
379.53,1.754e+8
379.55,2.037e+8
379.57,2.251e+8
379.59,2.367e+8
379.60,2.381e+8
379.62,2.323e+8
379.64,2.155e+8
379.66,1.902e+8
379.67,1.754e+8
379.69,1.436e+8
379.71,1.118e+8
379.73,8.287e+7
379.74,7.001e+7
379.76,4.813e+7
379.78,3.147e+7
379.80,1.958e+7
379.81,1.516e+7
379.83,8.748e+6
379.85,4.803e+6
379.87,2.508e+6
379.88,1.779e+6
379.90,8.621e+5
379.92,3.974e+5
379.94,1.742e+5
379.96,7.267e+4
379.97,4.606e+4
379.99,1.783e+4
380.01,6.562e+3
380.03,2.298e+3
380.04,1.335e+3
380.06,4.336e+2
380.08,1.340e+2
380.10,3.940e+1
380.11,2.097e+1
380.13,5.719e+0
380.15,1.484e+0
380.17,3.662e-1
380.18,1.786e-1
380.20,4.089e-2
380.22,8.909e-3
380.24,1.846e-3
380.25,8.248e-4
380.27,1.586e-4
380.29,2.900e-5
380.31,5.045e-6
380.32,2.065e-6
380.34,3.334e-7
380.36,5.119e-8
380.38,7.477e-9
380.39,2.804e-9
380.41,3.800e-10
380.43,4.899e-11
380.45,6.008e-12
380.46,2.065e-12
380.48,2.349e-13
405.55,1.258e-13
405.57,9.966e-13
405.58,2.759e-12
405.60,2.048e-11
405.62,1.455e-10
405.64,9.893e-10
405.65,2.538e-9
405.67,1.617e-8
405.69,9.862e-8
405.71,5.759e-7
405.72,1.369e-6
405.74,7.488e-6
405.76,3.921e-5
405.78,1.966e-4
405.79,4.330e-4
405.81,2.033e-3
405.83,9.142e-3
405.85,3.935e-2
405.86,8.032e-2
405.88,3.238e-1
405.90,1.250e+0
405.92,4.619e+0
405.93,8.736e+0
405.95,3.024e+1
405.97,1.002e+2
405.99,3.180e+2
406.00,5.572e+2
406.02,1.656e+3
406.04,4.712e+3
406.06,1.284e+4
406.08,3.347e+4
406.09,5.318e+4
406.11,1.299e+5
406.13,3.038e+5
406.15,6.803e+5
406.16,1.001e+6
406.18,2.100e+6
406.20,4.218e+6
406.22,8.108e+6
406.23,1.106e+7
406.25,1.991e+7
406.27,3.433e+7
406.29,5.666e+7
406.30,7.162e+7
406.32,1.107e+8
406.34,1.639e+8
406.36,2.322e+8
406.37,2.720e+8
406.39,3.610e+8
406.41,4.587e+8
406.43,5.581e+8
406.44,6.056e+8
406.46,6.902e+8
406.48,7.530e+8
406.50,7.866e+8
406.51,7.909e+8
406.53,7.738e+8
406.55,7.249e+8
406.57,6.501e+8
406.58,6.056e+8
406.60,5.088e+8
406.62,4.092e+8
406.64,3.150e+8
406.66,2.322e+8
406.67,1.961e+8
406.69,1.354e+8
406.71,8.953e+7
406.73,5.666e+7
406.74,4.435e+7
406.76,2.629e+7
406.78,1.492e+7
406.80,8.108e+6
406.81,5.880e+6
406.83,2.993e+6
406.85,1.458e+6
406.87,6.803e+5
406.88,4.571e+5
406.90,1.998e+5
406.92,8.357e+4
406.94,3.347e+4
406.95,2.084e+4
406.97,7.819e+3
406.99,2.809e+3
407.01,9.658e+2
407.02,5.572e+2
407.04,1.795e+2
407.06,5.535e+1
407.08,1.634e+1
407.09,8.736e+0
407.11,2.416e+0
407.13,6.397e-1
407.15,1.622e-1
407.17,3.935e-2
407.18,1.907e-2
407.20,4.335e-3
407.22,9.435e-4
407.24,1.966e-4
407.25,8.827e-5
407.27,1.723e-5
407.29,3.219e-6
407.31,5.759e-7
407.32,2.396e-7
407.34,4.015e-8
407.36,6.441e-9
407.38,9.893e-10
407.39,3.814e-10
407.41,5.487e-11
407.43,7.558e-12
407.45,9.966e-13
478.18,5.362e-12
478.20,2.914e-11
478.21,6.713e-11
478.23,3.480e-10
478.25,1.748e-9
478.27,8.513e-9
478.28,1.857e-8
478.30,8.625e-8
478.32,3.883e-7
478.34,1.694e-6
478.35,3.498e-6
478.37,1.456e-5
478.39,5.874e-5
478.41,2.297e-4
478.42,4.488e-4
478.44,1.674e-3
478.46,6.053e-3
478.48,2.121e-2
478.49,3.923e-2
478.51,1.311e-1
478.53,4.248e-1
478.55,1.334e+0
478.56,2.336e+0
478.58,6.996e+0
478.60,2.031e+1
478.62,5.714e+1
478.64,1.558e+2
478.65,2.542e+2
478.67,6.613e+2
478.69,1.667e+3
478.71,4.074e+3
478.72,6.293e+3
478.74,1.467e+4
478.76,3.314e+4
478.78,7.255e+4
478.79,1.061e+5
478.81,2.216e+5
478.83,4.486e+5
478.85,8.802e+5
478.86,1.218e+6
478.88,2.281e+6
478.90,4.137e+6
478.92,7.274e+6
478.93,9.532e+6
478.95,1.599e+7
478.97,2.599e+7
478.99,4.094e+7
479.00,5.079e+7
479.02,7.633e+7
479.04,1.112e+8
479.06,1.570e+8
479.07,1.843e+8
479.09,2.483e+8
479.11,3.241e+8
479.13,4.099e+8
479.14,4.557e+8
479.16,5.500e+8
479.18,6.433e+8
479.20,7.292e+8
479.22,8.011e+8
479.23,8.299e+8
479.25,8.698e+8
479.27,8.835e+8
479.29,8.698e+8
479.30,8.529e+8
479.32,8.011e+8
479.34,7.292e+8
479.36,6.433e+8
479.37,5.971e+8
479.39,5.026e+8
479.41,4.099e+8
479.43,3.241e+8
479.44,2.847e+8
479.46,2.148e+8
479.48,1.570e+8
479.50,1.112e+8
479.51,9.249e+7
479.53,6.251e+7
479.55,4.094e+7
479.57,2.599e+7
479.58,2.046e+7
479.60,1.239e+7
479.62,7.274e+6
479.64,4.137e+6
479.65,3.084e+6
479.67,1.674e+6
479.69,8.802e+5
479.71,4.486e+5
479.72,3.166e+5
479.74,1.539e+5
479.76,7.255e+4
479.78,3.314e+4
479.80,1.467e+4
479.81,9.645e+3
479.83,4.074e+3
479.85,1.667e+3
479.87,6.613e+2
479.88,4.116e+2
479.90,1.558e+2
479.92,5.714e+1
479.94,2.031e+1
479.95,1.197e+1
479.97,4.058e+0
479.99,1.334e+0
480.01,4.248e-1
480.02,2.369e-1
480.04,7.201e-2
480.06,2.121e-2
480.08,6.053e-3
480.09,3.196e-3
480.11,8.703e-4
480.13,2.297e-4
480.15,5.874e-5
480.16,2.936e-5
480.18,7.167e-6
480.20,1.708e-6
480.22,4.488e-7
480.23,3.098e-7
480.25,5.758e-7
480.27,2.213e-6
480.29,8.800e-6
480.31,3.403e-5
480.32,6.616e-5
480.34,2.442e-4
480.36,8.741e-4
480.38,3.033e-3
480.39,5.583e-3
480.41,1.849e-2
480.43,5.933e-2
480.45,1.846e-1
480.46,3.219e-1
480.48,9.559e-1
480.50,2.752e+0
480.52,7.679e+0
480.53,1.268e+1
480.55,3.377e+1
480.57,8.719e+1
480.59,2.182e+2
480.60,3.412e+2
480.62,8.151e+2
480.64,1.887e+3
480.66,4.237e+3
480.67,6.274e+3
480.69,1.344e+4
480.71,2.791e+4
480.73,5.619e+4
480.74,7.881e+4
480.76,1.514e+5
480.78,2.820e+5
480.80,5.092e+5
480.81,6.763e+5
480.83,1.166e+6
480.85,1.947e+6
480.87,3.153e+6
480.89,4.949e+6
480.90,6.129e+6
480.92,9.183e+6
480.94,1.334e+7
480.96,1.878e+7
480.97,2.202e+7
480.99,2.959e+7
481.01,3.854e+7
481.03,4.867e+7
481.04,5.405e+7
481.06,6.514e+7
481.08,7.610e+7
481.10,8.618e+7
481.11,9.065e+7
