Wavelength (nm),Sum(calc),Cu I (3.0e-1),Cu II (7.0e-1)
205.21,1.467e+1,1.611e-7,1.467e+1
205.23,1.332e+2,1.608e-7,1.332e+2
205.25,1.084e+3,1.605e-7,1.084e+3
205.26,2.955e+3,1.604e-7,2.955e+3
205.28,1.980e+4,1.601e-7,1.980e+4
205.30,1.146e+5,1.598e-7,1.146e+5
205.31,2.601e+5,1.597e-7,2.601e+5
205.33,1.188e+6,1.594e-7,1.188e+6
205.35,4.606e+6,1.591e-7,4.606e+6
205.36,8.520e+6,1.589e-7,8.520e+6
205.38,2.570e+7,1.587e-7,2.570e+7
205.40,6.551e+7,1.584e-7,6.551e+7
205.41,9.814e+7,1.582e-7,9.814e+7
205.43,1.939e+8,1.579e-7,1.939e+8
205.45,3.232e+8,1.576e-7,3.232e+8
205.46,3.915e+8,1.575e-7,3.915e+8
205.48,5.054e+8,1.572e-7,5.054e+8
205.50,5.503e+8,1.569e-7,5.503e+8
205.51,5.387e+8,1.568e-7,5.387e+8
205.53,4.542e+8,1.565e-7,4.542e+8
205.55,3.230e+8,1.562e-7,3.230e+8
205.56,2.555e+8,1.561e-7,2.555e+8
205.58,1.407e+8,1.558e-7,1.407e+8
205.60,6.531e+7,1.555e-7,6.531e+7
205.61,4.174e+7,1.553e-7,4.174e+7
205.63,1.501e+7,1.550e-7,1.501e+7
205.65,4.550e+6,1.548e-7,4.550e+6
205.66,2.350e+6,1.546e-7,2.350e+6
205.68,5.516e+5,1.543e-7,5.516e+5
205.70,1.092e+5,1.540e-7,1.092e+5
205.71,4.558e+4,1.539e-7,4.558e+4
205.73,6.986e+3,1.536e-7,6.986e+3
205.75,9.030e+2,1.533e-7,9.030e+2
205.76,3.045e+2,1.532e-7,3.045e+2
205.78,3.048e+1,1.529e-7,3.048e+1
205.80,2.572e+0,1.526e-7,2.572e+0
205.81,7.010e-1,1.524e-7,7.010e-1
205.83,4.581e-2,1.522e-7,4.581e-2
205.85,2.525e-3,1.519e-7,2.525e-3
205.86,5.560e-4,1.517e-7,5.560e-4
205.88,2.397e-5,1.514e-7,2.397e-5
205.90,5.579e-6,1.512e-7,5.579e-6
205.91,1.965e-5,1.510e-7,1.965e-5
205.93,2.926e-4,1.507e-7,2.926e-4
205.95,3.707e-3,1.504e-7,3.707e-3
205.96,1.238e-2,1.503e-7,1.238e-2
205.98,1.217e-1,1.500e-7,1.217e-1
206.00,1.009e+0,1.497e-7,1.009e+0
206.01,2.729e+0,1.496e-7,2.729e+0
206.03,1.756e+1,1.493e-7,1.756e+1
206.05,9.544e+1,1.490e-7,9.544e+1
206.06,2.088e+2,1.488e-7,2.088e+2
206.08,8.802e+2,1.486e-7,8.802e+2
206.10,3.133e+3,1.483e-7,3.133e+3
206.11,5.547e+3,1.481e-7,5.547e+3
206.13,1.532e+4,1.478e-7,1.532e+4
206.15,3.570e+4,1.475e-7,3.570e+4
206.16,5.116e+4,1.474e-7,5.116e+4
206.18,9.251e+4,1.471e-7,9.251e+4
206.20,1.412e+5,1.468e-7,1.412e+5
206.21,1.638e+5,1.467e-7,1.638e+5
206.23,1.940e+5,1.464e-7,1.940e+5
206.25,1.940e+5,1.461e-7,1.940e+5
206.26,1.821e+5,1.460e-7,1.821e+5
206.28,1.412e+5,1.457e-7,1.412e+5
206.30,9.251e+4,1.454e-7,9.251e+4
206.31,7.027e+4,1.452e-7,7.027e+4
206.33,3.570e+4,1.449e-7,3.570e+4
206.35,1.532e+4,1.447e-7,1.532e+4
206.36,9.414e+3,1.445e-7,9.414e+3
206.38,3.133e+3,1.442e-7,3.133e+3
