Wavelength (nm),Sum(calc),Cu I (9.3e-3),Cu II (9.9e-1)
208.68,2.950e+7,2.893e-8,2.950e+7
208.69,4.578e+7,2.889e-8,4.578e+7
208.71,9.863e+7,2.881e-8,9.863e+7
208.73,1.809e+8,2.874e-8,1.809e+8
208.74,2.305e+8,2.870e-8,2.305e+8
208.76,3.310e+8,2.863e-8,3.310e+8
208.78,4.035e+8,2.855e-8,4.035e+8
208.79,4.190e+8,2.851e-8,4.190e+8
208.81,3.997e+8,2.844e-8,3.997e+8
208.83,3.238e+8,2.836e-8,3.238e+8
208.84,2.741e+8,2.832e-8,2.741e+8
208.86,1.738e+8,2.825e-8,1.738e+8
208.88,9.357e+7,2.817e-8,9.357e+7
208.89,6.457e+7,2.813e-8,6.457e+7
208.91,2.721e+7,2.806e-8,2.721e+7
208.92,1.661e+7,2.802e-8,1.661e+7
208.94,5.476e+6,2.794e-8,5.476e+6
208.96,1.533e+6,2.787e-8,1.533e+6
208.97,7.630e+5,2.783e-8,7.630e+5
208.99,1.671e+5,2.775e-8,1.671e+5
209.01,3.109e+4,2.768e-8,3.109e+4
209.02,1.261e+4,2.764e-8,1.261e+4
209.04,1.836e+3,2.757e-8,1.836e+3
209.06,2.275e+2,2.749e-8,2.275e+2
209.07,7.722e+1,2.745e-8,7.722e+1
209.09,2.944e+1,2.738e-8,2.944e+1
209.11,1.884e+2,2.730e-8,1.884e+2
209.12,5.137e+2,2.726e-8,5.137e+2
209.14,3.396e+3,2.719e-8,3.396e+3
209.16,1.905e+4,2.711e-8,1.905e+4
209.17,4.244e+4,2.707e-8,4.244e+4
209.19,1.861e+5,2.700e-8,1.861e+5
209.21,6.926e+5,2.692e-8,6.926e+5
209.22,1.256e+6,2.688e-8,1.256e+6
209.24,3.654e+6,2.681e-8,3.654e+6
209.26,9.018e+6,2.673e-8,9.018e+6
209.27,1.332e+7,2.669e-8,1.332e+7
209.29,2.570e+7,2.662e-8,2.570e+7
209.31,4.206e+7,2.654e-8,4.206e+7
209.32,5.060e+7,2.651e-8,5.060e+7
209.34,6.474e+7,2.643e-8,6.474e+7
209.36,7.028e+7,2.635e-8,7.028e+7
209.37,6.885e+7,2.632e-8,6.885e+7
209.39,5.842e+7,2.624e-8,5.842e+7
209.41,4.206e+7,2.616e-8,4.206e+7
209.42,3.356e+7,2.613e-8,3.356e+7
209.44,1.889e+7,2.605e-8,1.889e+7
209.46,9.018e+6,2.598e-8,9.018e+6
209.47,5.859e+6,2.594e-8,5.859e+6
209.49,2.187e+6,2.586e-8,2.187e+6
209.51,6.926e+5,2.579e-8,6.926e+5
209.52,3.665e+5,2.575e-8,3.665e+5
209.54,9.072e+4,2.567e-8,9.072e+4
209.56,1.909e+4,2.560e-8,1.909e+4
209.57,8.325e+3,2.556e-8,8.325e+3
209.59,2.272e+3,2.548e-8,2.272e+3
209.61,6.537e+3,2.541e-8,6.537e+3
209.62,1.573e+4,2.537e-8,1.573e+4
209.64,8.439e+4,2.529e-8,8.439e+4
209.66,3.867e+5,2.522e-8,3.867e+5
209.67,7.790e+5,2.518e-8,7.790e+5
209.69,2.800e+6,2.511e-8,2.800e+6
209.71,8.558e+6,2.503e-8,8.558e+6
209.72,1.408e+7,2.499e-8,1.408e+7
209.74,3.375e+7,2.492e-8,3.375e+7
209.76,6.879e+7,2.484e-8,6.879e+7
209.77,9.242e+7,2.480e-8,9.242e+7
209.79,1.477e+8,2.473e-8,1.477e+8
209.81,2.007e+8,2.465e-8,2.007e+8
209.82,2.201e+8,2.461e-8,2.201e+8
209.84,2.344e+8,2.454e-8,2.344e+8
209.86,2.123e+8,2.446e-8,2.123e+8
209.87,1.901e+8,2.442e-8,1.901e+8
209.89,1.349e+8,2.435e-8,1.349e+8
209.91,8.138e+7,2.427e-8,8.138e+7
209.92,5.947e+7,2.423e-8,5.947e+7
209.94,2.811e+7,2.416e-8,2.811e+7
209.96,1.130e+7,2.408e-8,1.130e+7
209.97,6.736e+6,2.405e-8,6.736e+6
209.99,2.120e+6,2.397e-8,2.120e+6
210.01,5.672e+5,2.389e-8,5.672e+5
210.02,2.760e+5,2.386e-8,2.760e+5
210.04,5.783e+4,2.378e-8,5.783e+4
210.06,1.030e+4,2.370e-8,1.030e+4
210.07,4.087e+3,2.367e-8,4.087e+3
210.09,5.700e+2,2.359e-8,5.700e+2
210.11,6.754e+1,2.352e-8,6.754e+1
210.12,2.190e+1,2.348e-8,2.190e+1
210.14,2.642e+0,2.340e-8,2.642e+0
210.16,9.114e+0,2.333e-8,9.114e+0
210.17,3.224e+1,2.329e-8,3.224e+1
210.19,3.686e+2,2.321e-8,3.686e+2
210.21,3.587e+3,2.314e-8,3.587e+3
210.22,1.053e+4,2.310e-8,1.053e+4
210.24,8.028e+4,2.302e-8,8.028e+4
210.26,5.204e+5,2.295e-8,5.204e+5
210.27,1.247e+6,2.291e-8,1.247e+6
210.29,6.332e+6,2.283e-8,6.332e+6
210.31,2.734e+7,2.276e-8,2.734e+7
210.32,5.345e+7,2.272e-8,5.345e+7
210.34,1.808e+8,2.264e-8,1.808e+8
210.36,5.201e+8,2.257e-8,5.201e+8
